German	utf-8
STATMENU_ACT_LOGS_DESCR	Hier sehen sie die Aktivitäten von subscribe/unsubscribe und anderer Aktionen. Die Anzeige erfolgt nach den von ihnen gewählten Datumszeiträumen in Datensätzen zu den erfolgten ausgeführten Kommandos.
STATMENU_CURRENT_BROADCAST	Aktuelle Mail-Logs
STATMENU_CURRENT_BROADCAST_DESCR	Hier sehen sie die Informationen zu den laufenden Mail-Prozessen.
STATMENU_TOTALS	Totals
STATMENU_TOTALS_DESCR	Hier sehen sie dei gesammten subscribers/unsubscribers und Nachrichten die in allen Accounts ausgeführt wurden.
STATMENU_TOTALS_SENT_MESS	Gesendete Nachrichten
STATMENU_TOTALS_SUBSCRIBERS	Subscribers
STATMENU_TOTALS_PROSPECTS	User
PROSPMENU_ADD_PROSP	Neuen User eintragen
PROSPMENU_IMPORT	Import Liste
PROSPMENU_EXPORT	Export Liste
PROSPMENU_COPY	Kopie aus Account
PROSPMENU_BULK_REMOVE	Mehrere Emails löschen
ERROR_NOT_CHANGE_URL	Bitte nicht die URL wechseln
ERROR	Fehler
MENU_GO	Go
ERROR_YOUR_NAME_REQUIRED	Feld 'Name' ist ein Pflichtfeld
ERROR_EMAIL_INCORRECT	Email ist nicht korrekt
ERROR_EMAIL_REQUIRED	Email muss eingetragen werden
ERROR_REQUIRED	Pflichtfeld
ERROR_DUBL	Dublicating
ERROR_CANT_LOCK_FILE	Can not lock file for writing
ERROR_REQUIRED_SMALL	required
MESS_SETTINGS_UPDATED	Einstellung gespeichert
ERROR_FILENAME_INCORRECT	Falscher Dateiname
ERROR_INCORRECT	Incorrect
ERROR_NOT_EQUAL	Not equal
ERROR_NOT_SELECTED	Not selected
ERROR_REQUIRED_SENDMAIL	Sendmail erforderlich
ERROR_INCORRECT_SENDMAIL_PATH	Falscher Pfad zu sendmail
ERROR_INCORRECT_SENDMAIL_NOT_EXISTS	Sendmail kann auf diesem Server nicht gefunden werden
ERROR_REQUIRED_SMTP	SMTP server name is required now
ERROR_INCORRECT_FORMAT	Falsches Format
MESS_LOGOUT_TO_CHECK	LogOut to check
ERROR_CANT_OPEN_DIR	Kann Verzeichnis nicht öffnen
ERROR_CANT_UNLINK_FILE	Kann Datei nicht löschen
ERROR_CANT_CREATE_DIR	Kann Verzeichnis nicht erstellen
ERROR_CANT_OPEN_FILE	Kann Datei nicht öffnen
ERROR_CANT_WRITE	for writing
ERROR_NEED_TO_CREATE	You need to create file
ERROR_NEED_TO_CREATE2	and set CHMOD 666 permisions
ERROR_SHORTER_THEN_3	Must be more then 3 character
MONTH_1	Januar
MONTH_2	Februar
MONTH_3	März
MONTH_4	April
MONTH_5	Mai
MONTH_6	Juni
MONTH_7	Juli
MONTH_8	August
MONTH_9	September
MONTH_10	Oktober
MONTH_11	November
MONTH_12	Dezember
MESS_NO_BROADCAST_LOG	Keine Protokolleinträge gefunden
BROADCAST_LOG_PROC	Proc #
BROADCAST_LOG_TIME	Zeit
BROADCAST_LOG_STATUS	Status
BROADCAST_LOG_MAIN	Übersicht
STAT_NO_MESS	Keine Nachricht mit diesem Datum
STAT_STATISTICS	Statistik
STAT_TOTAL_PROSP	Total  account's prospects
STAT_ACCOUNT	Account
STAT_SEQUNTIAL	Sequentiell
STAT_ACT_PROSP	Aktive User
STAT_INACT_PROSP	Inaktive User
STAT_TOTAL	Total
STAT_NO_LOGS_FOUND	Keine Protokolleinträge gefunden
STAT_SHEDULED	Sheduled
STAT_MANUAL	Manuell
STAT_DOI	Double opt in
STAT_SUBSCRIBE	Subscribe
STAT_UNSUBSCRIBE	Unsubscribe
STAT_SUBSCRIBERS	Subscribers
STAT_UNSUBSCRIBERS	Unsubscribers
STAT_SENT_MESS_STAT	Statistik - gesendete Nachrichten - 
STAT_SUBSCRIBERS_STAT	Subscribers statistics
STAT_PERIOD_FOR	vom
STAT_PERIOD_FROM	vom
STAT_PERIOD_TILL	till
TXT_EMAIL_ADDRESS	Email
TXT_NAME	Name
ERROR_IS_ALREADY_EXISTS	is already exists
ERROR_NUMBER_REQUIRED	Must be the number
ERROR_TO_BIG	To big number
ERROR_ALREADY_USED	already used
ERROR_USER_NOT_FOUND	ERROR: bad request USER not found
TXT_MODE_NEW	Neu
TXT_MODE_EDIT	Bearbeiten
USR_SENT_MESS	Sent messages
USR_SENT_RECORDS_IN_LOGS	records in logs
USR_SENT_MESSAGE	Nachricht
USR_SENT_DATE	Datum
USR_BROWSER_PAGE	Seite
USR_BROWSER_PROSPECTS	prospects
USR_BROWSER_PREVIOUSE	Vorherige
USR_BROWSER_NEXT	Nächste
USR_BROWSER_SHOWING	Showing
USR_BROWSER_FROM	von
USR_BROWSER_NO_RECORDS_FOUND	Keine Datensätze gefunden
USR_BROWSER_INACTIVE	inaktive
USR_BROWSER_ACTIVE	aktiv
USR_BROWSER_PENDING	unbestätigte
USR_BROWSER_CYCLE_DISABLED	deaktiviert
USR_BROWSER_EDIT_USER	User bearbeiten
USR_BROWSER_HEAD_SENT	Send
USR_BROWSER_HEAD_STATUS	Status
USR_BROWSER_HEAD_DATE	Datum
USR_BROWSER_HEAD_CYCLE	Zyklus
USR_BROWSER_HEAD_HOST	Host
USR_BROWSER_HEAD_USERID	User-ID
USR_BROWSER_USERS_REMOVED	User gelöscht
USR_BROWSER_USERS_CHANGED	User bearbeitet
USR_BROWSER_USERS_SHOW_FIELDS	Anzeige FormularFelder
USR_BROWSER_USERS_SHOW_EXTRA	Anzeige Extrafelder
USR_BROWSER_USERS_SORT_ASC	Aufsteigend
USR_BROWSER_USERS_SORT_DESC	Absteigend
USR_BROWSER_FINISHED	Ende
USR_BROWSER_ALL	alle
USR_BROWSER_CANT_IMPORT	Kann nicht importieren - 0 User in anderen Accounts gefunden
USR_BROWSER_EXPORTED	Exported
USR_BROWSER_CANT_EXPORT	Kann nicht exportieren - 0 User gefunden
USR_BROWSER_EXPORT_EMAIL_ONLY	Nur EMAIL 
USR_BROWSER_EXPORT_EMAIL	EMAIL
USR_BROWSER_EXPORT_NAME	NAME
USR_BROWSER_EXPORT_FILE	Datei
USR_BROWSER_EXPORT_PAGE	Seite
USR_BROWSER_BULK_QUERY_INCORRECT	Bulk query is incorrect
USR_BROWSER_BULK_CURRENT_ACCOUNT	Aktueller Account
USR_BROWSER_BULK_ALL_ACCOUNTS	Alle Accounts
USR_BROWSER_IMPORT_PROSPADD	User eingefügt
USR_BROWSER_IMPORT_ERRORS_DETECTED	Fehler aufgetreten
ERROR_FIELD_NAME_INCORRECT	Feldname nicht korrekt
HTML_FORM_FIELD_NAME	Feldname
HTML_FORM_ERR_RESERVED	ist belegt
HTML_FORM_ERR_USED	ist bereits vorhansen
HTML_FORM_ERR_EMPTY	ist leer
HTML_FORM_SUBSCRIBE_ACCOUNTS	Select accounts where do you whant automaticly <B>subscribe</B> prospects when they are subscribed on this account
HTML_FORM_SAVE_ACCOUNTS	Account speichern
HTML_FORM_UNSUBSCRIBE_ACCOUNTS	Select accounts where do you whant automaticly <B>unsubscribe</B> prospects when they are subscribed on this account
HTML_FORM_UNSUBSCRIBE_ALL	Unsubscribe from all other accounts
HTML_FORM_ADD_NEW	Klick - Feld einfügen
HTML_FORM_NAME	Name
HTML_FORM_RESERVED	Reserviertes Standardfeld
HTML_FORM_EMAIL	Email
HTML_FORM_CONFIRM	Sind Sie sicher das Sie dieses Feld löschen möchten?  Die Daten können dabei verloren gehen!
HTML_FORM_YOU_HAVE	Sie haben
HTML_FORM_COSTUM_FIELDS	Zusatzfelder
HTML_FORM_DROP	Löschen
HTML_FORM_UP	Oben
HTML_FORM_DOWN	Unten
HTML_FORM_MOVE	Nach
HTML_FORM_SUBSCRIBE	Eintrag speichern
ERROR_URL_INCORRECT	URL ist nicht korrekt
TXT_DEFAULT	Default
ERROR_CANT_UPLOAD_FILE	Can not upload file
ERROR_CANT_FIND_EMAIL	Can not find email
TXT_LINE	Linie
TXT_EMAIL	Email
TXT_ISINCORRECT	nicht korrekt
TXT_IS_EXISTS	ist bereits vorhanden
TXT_IS_BOUNSED	is in the bounced BlackList
MESS_ERR_CONFIRM	Message body must contain special tag
ERROR_DATE_INCORRECT	Datum nicht korrekt
MESS_CREATE_NEWMESS	Creating the new message to account
MESS_EDIT_MESS	Nachricht bearbeiten
MESS_DOWNLOAD_ATTACH	Download Dateianhang
MESS_ATTACHMENTS	Dateianhang
MESS_TYPE_AUTO	Autoresponding
MESS_TYPE_MANUAL	Manuell
MESS_TYPE_SCHEDULED	At date
MESS_BROADCAST_STARTED	Broadcaster startet im Hintergrund
MESS_PREVIEW	Vorschau
LINKS_ALL_MONTH	All month
LINKS_ALL_MESS	All messages
LINKS_ALL_LINKS	All links
LINKS_CHANGE	Change
LINKS_CHANGE_LINK	Change link
MESS_PERS_EXTRA	Extra merge field words
MESS_PERS_LOAD_FROM_FILE	Load content from file
MESS_PERS_LOAD_FROM_TEMPL	Load content from templates
MESS_PERS_REDIR_LINK	redirect link
MESS_PERS_REDIR_LINK_TO	nach
MESS_PERS_TRACK	Tracking links
MESS_PERS_NEW	Neu
TXT_VIEW	View
LINKS_MESSAGES_LINKS_ACT	Your messages links activity
LINKS_VIEW_PROSP	Zeige User
LINKS_VIEW_CLICKS	Zeige Klicks
ACCOUNT_EXISTS	Account existiert bereits
ACCOUNT_INVALID_NAME	Fehlerhafter Accountname
ACCOUNT_NO_ACCOUNTS	Keine Accounts
ACCOUNT_YOUR_ACCOUNTS	Ihre Accounts
ACCOUNT_DISABLED	deaktiviert
ACCOUNT_DELETE_QUESTION	Wollen sie den ausgewählten Account tatsächlich löschen ?
ACCOUNT_INVERT_STATUS	Status wechseln
LANG_SELECT_LANG	Bitte wählen sie ihre Sprache.
LANG_SELECT_LANG_TABHEADER	Wählen sie ihre Standardsprache und Codierung.
LANG_LANG	Sprache
#########################
#file bounce.cgi
#########################
BOUNCE_ERROR	BOUNCE PROCESSING FEHLER
BOUNCE_ERROR_HEADER	BOUNCE PROCESSING ERROR - can not load module Mail::DeliveryStatus::BounceValidator
BOUNCE_ERROR_DESCR1	Can not load module Mail::DeliveryStatus::BounceValidator
BOUNCE_ERROR_DESCR2	Please check did file <B>BounceValidator.pm</b> exists in the lib/Mail/DeliveryStatus/ directory or ask your hosters to install MIME::Tools modules
BOUNCE_ERROR_TXT	Fehler
BOUNCE_ERROR_ACTION	Action
BOUNCE_ERROR_ACTION_WAS_NOTFOUND	nicht gefunden
BOUNCE_ERROR_CANT_OPEN_CONN	Fehler: Can't open connection to
BOUNCE_CONNECTED	CONNECTED
BOUNCE_CONNECTED_AUTH	Authentifizierung mit User
BOUNCE_CONNECTED_AUTH_AND_PASS	und Passwort **********
BOUNCE_CONNECTED_LOGGED	Logged in
BOUNCE_CONNECTED_FETCH	Fetching messages
BOUNCE_CONNECTED_YOU_HAVE	Sie haben
BOUNCE_CONNECTED_YOU_HAVE_MESS	Nachrichten in ihrer Mailbox
BOUNCE_CONNECTED_LOADING	Loading first
BOUNCE_CONNECTED_LOADING_MESS	Nachrichten
BOUNCE_CONNECTED_LOADING_EMPTY	Ihre Mailbox ist leer
BOUNCE_ERROR_VALIDATOR	Bounce-Validator Fehler: Can not parse message
BOUNCE_LOAD_MSG	Loading message
BOUNCE_LOAD_MSG_IS_BOUNC	This message is bounced
BOUNCE_LOAD_MSG_EMAIL_IS	Bounced email is
BOUNCE_LOAD_MSG_EMAIL_IS_DIAG	Diagnose
BOUNCE_LOAD_MSG_CANT_LOAD	Error: Kann Nachricht nicht laden
BOUNCE_COUNT_TOTAL	Total
BOUNCE_COUNT_TOTAL_MSGS	Bounced-Nachrichten in ihrer Mailbox
BOUNCE_TEST_OK	Test ist OK
BOUNCE_TEST_ERROR	Error: Keine Bestätigung - Inkorrekte POP3 Einstellungen
BOUNCE_PAGE_REM_MAIL_ALL_ACC	Lösche Emailadresse aus allen Accounts
BOUNCE_PAGE_SET_STATUS_INACT	User deaktivieren
BOUNCE_PAGE_ADD_NEW_POP	Neues POP3-Konto hinzufügen
BOUNCE_PAGE_EDIT_POP	Vorhanden POP3-Konten bearbeiten
BOUNCE_STATUS_WAITING	Eingegangen
BOUNCE_STATUS_REMOVED	User löschen
BOUNCE_STATUS_INACTIV	User inactivated
BOUNCE_STATUS_NOTFOUND	User nicht gefunden
BOUNCE_STATUS_PROC_MAN	Processed manuell
BOUNCE_SORT_HARD	Hard
BOUNCE_SORT_SOFT	Soft
BOUNCE_SORT_DATE	Datum
BOUNCE_SORT_MAIL	Email
BOUNCE_SORT_ASC	Aufsteigend
BOUNCE_SORT_DESC	Absteigend
BOUNCE_INPUT_REM_PROSP	Lösche User
BOUNCE_INPUT_REM_PROSP_SURE	Sind Sie sicher das Sie diese 
BOUNCE_INPUT_REM_PROSP_SURE_MAILS	Emails löschen möchten ?
BOUNCE_INPUT_REM_PROSP_CANCEL	Löschen
BOUNCE_INPUT_BACK_BLACKLIST	Zurück zur BlackList
BOUNCE_EMAILS_WERE_REM	Emails wurden von BlackList gelöscht
BOUNCE_EMAILS_WERE_ADD	Emails wurden in die BlackList eingetragen
BOUNCE_ERROR_DELIVER_MSGS	Sorry, aber es entstehen Probleme beim Senden der Nachricht an diese Emailaddresse  
BOUNCE_SETTS_UPDATED	Einstellung speichern
#########################
#file xmlimport.cgi
#########################
XMLI_ERROR_BNC_PROC	BOUNCE PROCESSING ERROR
XMLI_ERROR_BNC_PROC_TXT	XML IMPORT FEHLER - Kann Modul "XML::Parser" nicht laden
XMLI_ERROR_BNC_PROC_TXT_DESCR1	Kann Modul nicht laden
XMLI_ERROR_BNC_PROC_TXT_DESCR2	Bitten sie ihren Hoster die fehlenden
XMLI_ERROR_BNC_PROC_TXT_DESCR2_1	Module zu installieren.
XMLI_ERROR_BNC_PROC_ERROR	Fehler
XMLI_MSG	Do not change the URL
XMLI_MSG_PROSPS_WERE_ADDED	User hinzugefügt und
XMLI_MSG_PROSPS_WERE_UPD	Eintrag in Datenbank erneuert
XMLI_MSG_TOTAL_ELMS	Ges. Einträge in XML Datei
XMLI_ERR_ELEMENT	Eintrag
XMLI_ERR_ELEMENT_EMAIL	Email
XMLI_ERR_ELEMENT_EMAIL_INCORR	ist inkorrekt
XMLI_ERR_ELEMENT_EMAIL_ALR_EX	bereits vorhanden und erneuert
XMLI_ERR_ELEMENT_EMAIL_WAS_NOT_ADDED_SQL	nicht eingetragen - SQL Fehler
#########################
#file xmlexport.cgi
#########################
XMLE_PAGE_FUMP_DIR	Into FUMP directory
XMLE_PAGE_INTO_BRO	Into browser
XMLE_PAGE_SAVE_AS_FILE	Save as file
XMLE_PAGE_ENC_DEF	<default>
XMLE_FIELDS_REG_DATE	Registration Datum
XMLE_FIELDS_EMAIL	Email
XMLE_FIELDS_NAME	Name
____STARTTEXTS____
[T_SENDING_TIPS]
	<h2>Infos für Einstellungen u. Steuerung der Bounced-Mail-Header. </h2>
                    <p>Zur Bearbeitung von Bounced-Meldung können sie hier die Einstellung festlegen. </p>
                    <p>&nbsp;</p>
                    <p><font color="#FF0000"><strong>ACHTUNG!</strong></font>
                      Bounced-Nachrichten (Rücklauf-Nachrichten Sendefehler) können sie mit Einstellungen steuern. Sie müssen hier die Optionen definieren um die Nachrichten an die gewollte Mailbox zu senden, wobei die Einstellung ihrer FROM oder Reply-To Vorsätze unterschiedlich sein muß. Viel Erfolg!<br><br>
<p>Normalerweise gehen alle Rückmeldungen an die Emailadresse die als Reply-To eingetragen ist zurück.  Nutzen sie hier die Optionen um dies zu verändern.</p>
                    <p><strong><u>Mit SMTP senden</u></strong></p>
                    <p>Wenn Sie SMTP benutzen, um Ihre Emailnachrichten zu senden, können die Einträge  'FROM' oder 'Reply-To' eine spezielle Emailadresse zuordnen. Dazu müssen Sie die Checkbox vor 'Folgende Mailadresse als SMTP-Absender nutzen' aktivieren und die gewünschte Emailadresse eintragen.   <br>
                      <br>
                      <strong><u>Einstellungen zur Nutzung von Sendmail</u></strong></p>
                    <p>Ihre Resultate können mit verschiedenen Methoden (Optionen) gemischt werden. Testen sie verschiedene Variationen: </p>
                    <p><br>
                      <strong><em>Option 1:</em></strong> Sendmail-Anhang -f </p>
                    <p>Aktivieren sie die Checkbox vor 'Sendmailzusatz -f an folgende Emailadresse' und                                     tragen sie die gewünschte Emailadresse ein.</p>
                    <p>Damit legen sie den 'Return-Path' fest.</p>
                    <p>&nbsp;</p>
                    <p><em><strong>Option 2: </strong></em>Return-Path header</p>
                    <p>Wenn das nicht arbeitet, können Sie versuchen, den Return-Path Header direkt einzustellen.  Dieses ist nicht die beste Weise, aber Qmail erlaubt Ihnen, dies zu tun.</p>
                    <p>&nbsp;</p>
                    <p><strong>Option 3: </strong>Errors-To header</p>
                    <p>Der 'Errors-To' Header scheint, gerade für diese Aufgabe hergestellt worden zu sein, aber es ist wirklich ein mißbilligter Eintrag, also Gebrauch mit Vorsicht.  Damit es funktioniert, müssen Sie Sendmail konfigurieren, um den 'Errors-To Header' wirklich zu sehen. Wir empfehlen nicht, diesen Eintrag zu verwenden, aber wenn alles andere nicht funktioniert, können Sie diesen Fehlervorsatz spezifizieren. </p>
                    <p>&nbsp;</p>
                    <p>Um ihre Konfigurationen zu prüfen, senden Sie sich eine Testmail und prüfen den Quelltext der Nachricht in ihrem Mailprogramm.  Im Mail-Header können sie dann den  Return-Pfad sehen:</p>
                    <blockquote>
                      <p><code>Return-Path: &lt;info-store@sellwide.net&gt;<br>
                        Delivered-To: helpdesk@sellwide.net<br>
                        Content-Disposition: inline<br>
                        Content-Transfer-Encoding: binary<br>
                        Content-Type: text/plain<br>
                        MIME-Version: 1.0<br>
                        X-Mailer: MIME::Lite 2.117 (F2.71)<br>
                        Date: Tue, 14 Jun 2005 15:26:41 UT<br>
                        From: FUMP Registration &lt;info-store@sellwide.net&gt;<br>
                        To: Konstantin Ursaloff &lt;info-store@sellwide.net&gt;<br>
                        Subject: User mom_id2000@yahoo.com registered at the dlfumlpl
                        account </code></p>
                    </blockquote>
[/T_SENDING_TIPS]
[T_BOUNCE_HELP]
<p>Hier können sie POP3 Accounts für aufgelaufene Bounce-Mails einrichten und bearbeiten.
                    Ebenfalls werden Regeln für die Behandlung und Aktionen von Bounced-Mails und den  Usern eingestellt (z. Bsp. löschen oder User deaktivieren):<br>
                    <br>
                    <strong>POP3 Server</strong> - ihr POP3 Server für die Emailnachrichten</p>
                  <p><strong>POP3 Port</strong> - standard POP3 Port ist 110</p>
                  <p><strong>POP3 User</strong> - Username zum Zugriff auf die Mailbox</p>
                  <p><strong>POP3 Passwort</strong> - Passwort zum Zugriff auf die Mailbox<br>
                  </p>
                  <p><strong>Lösche&nbsp;User&nbsp;nach</strong>:<br>
                    - <strong>hard bounces:</strong> Hier ist die Anzahl wieviel der hard bounced
                    Nachrichten angenommen werden, bevor der User gelöscht oder deaktiviert wird. (Hard
                    bounces sind permanente Fehler die entstehen weil der Host nicht gefunden wird,
                    die Nachricht durch SPAM-Filter zurückgewiesen wird, dies bedeutet dann auch das ihre Nachricht nicht ausgeliert werden kann). Die Grundeinstellung erlaubt 1 hard bounced Nachricht bevor gelöscht/deaktiviert wird. Diese Einstellung können sie jederzeit ändern.</p>
                  <p>- <strong>soft bounces:</strong> Hier ist die Anzahl wieviel der soft bounced Nachrichten zugelassen werden bevor
                    der User gelöscht oder deaktiviert wird. (Soft bounces
                    sind temporäre Fehler die entstehen wenn zum Beispiel die Mailbox des Empfängers voll ist (over quota)
                    etc). Die Grundeinstellung erlaubt 3 soft bounced Nachrichten bevor gelöscht/deaktiviert wird. Diese Einstellung können sie jederzeit ändern.</p>
                  <p><strong><br>
                    Aktionen: </strong></p>
                  <p>- <strong>User aus Datenbank löschen:</strong> Der User wird endgültig aus der Datenbank gelöscht.</p>
                  <p>- <strong>Status inaktiv setzen:</strong> Der User wird deaktiviert</p>
                  <p>- <strong>User in die BlackList eintragen:</strong>
                    Ist diese Option gewählt werden User automatisch in die BlackListe eingetragen wenn sie gelöscht oder deaktiviert werden.</p>
[/T_BOUNCE_HELP]
[T_ACCOUNT_OPTIONS_SUBSCRIBE]

			  Sie erhalten Teilnehmer indem dieser nur auf den Emaillink klickt.<br>
Erstellen Sie einfach eine neue Email-Adresse und tragen Sie dann die Einstellungen unten ein.
Dieses ist besonders nützlich, <br>wenn sie vermeiden möchten das ein
falscher Name und Email-Adresse erfasst wird, weil sie ihre Informationen direkt von ihrem Email-Client sammeln.<br>
Mehr Infos finden sie in der README.TXT.

[/T_ACCOUNT_OPTIONS_SUBSCRIBE]
[T_ACCOUNT_OPTIONS_SUBSCRIBE2]
			<u>Direkteintrag ohne Bestätigung:</u> Bei aktivierter Checkbox werden bei einem Klick auf den Email-Link oder das Senden <br>von unbestätigten Mails, Einträge direkt und ohne Bestätigung durchgeführt.
                          <br> <br> <u>POP3 Server:</u>
                          Diese Info erhalten sie beim Anlegen eines POP3 Kontos.<br>
                          Oder fragen sie ihren Provider.<br> <br>
                          <u>POP3 Username:</u> Wir beim Einrichten des POP3 Kontos angegeben.<br> <br> <u>POP3 Passwort:</u> Ihr Passwort zum POP3 Konto.<br> <br> <u>POP3 Server
                          Port:</u> Meistens wird Port 110 genutzt. Bei Fehlermeldungen fragen sie bitte ihren Administrator.
[/T_ACCOUNT_OPTIONS_SUBSCRIBE2]
[T_ACCOUNT_OPTIONS_BLACKLIST]
		    <p><u>Sperrliste für Emails:</u> Hier können sie einzelne Emailadressen oder den
                      Absender-Host eintragen. Bsp.: <b>&quot;spam@yahoo.com&quot;</b> or
                      <b>&quot;hotmail.com&quot;</b></p>
                    <p>&nbsp;</p>
                    <p><u>Fehlermeldung an Absender/Grund für Eintrag:</u> Diese Meldung erhalten User
					 deren Emailadresse in dei Sperrliste eingetragen wurde,
                      oder Absender die mit Emailadressen senden die bereits in der Sperrliste
					   stehen.<br>
                    </p>
[/T_ACCOUNT_OPTIONS_BLACKLIST]
[T_MESSEDIT_PERSONALIZE]
			<h2>PERSONALISIEREN SIE IHRE NACHRICHTEN</h2>
			<P><span class="ERROR_ELEMENT"><U><B>NEU!</B></U></span> Den Link zum  Austragen 
			<strong>[UNSUBSCRIBE_LINK]</strong>
			können sie nun an jeder Stelle ihrer Nachricht einfügen.
			  In HTML Nachrichten können sie den Austragungslink so einfügen: &lt;a href=&quot; 
					<strong>[UNSUBSCRIBE_LINK]</strong>&quot;&gt;
                   Klick hier zum AUSTRAGEN&lt;/a&gt;
                  <P>&nbsp;
                  <p>There are four pre-set merge field words you may use in the
                    Body or Subject line to personalize your messages.</p>
                  <ul>
                    <li><b>[FIRSTNAME]</b> will extract and print your prospect's
                      first name (i.e. 'Hi <b>[FIRSTNAME]</b>' will print 'Hi
                      John!', if your prospect's first name is <i>John</i>).</li>
                    <li><b>[FULLNAME]</b> will extract and print your prospect's
                      whole name (i.e. 'Mr. <b>[FULLNAME]</b>,' will print 'Mr.
                      John Doe', if your prospect's name is <i>John Doe</i>).</li>
                    <li><b>[EMAIL]</b> will extract and print your prospect's
                      e-mail address (i.e. 'Ihre Emailadresse lautet <b>[EMAIL]</b>'
                      will output 'Ihre Emailadresse lautet john@aol.com', if your
                      prospect's e-mail address is <i>john@aol.com</i>. <br>
                      <li><b>[DATE]</b> gibt das aktuelle Datum im Format <i>dd/mm/yyyy</i>                                      (Tag/Monat/Jahr) aus.
                    <b>[DATE+32d] [DATE-32d] [DATE+1m] [DATE-1m] [DATE+1y]
                      [DATE-1y] </b>ergibt das entsprechende Datum im Format <i>dd/mm/yyyy</i>.
                    <li><b>[IP]</b> extrahiert und druckt IP-Adresse des Users 
, wenn er über das HTML-Formular eingetragen wurde.</li>
                    <!--Please do not remove or translate this tag-->
		    {additional}
		    <!--Please do not remove or translate this tag-->
		    </ul>
[/T_MESSEDIT_PERSONALIZE]
[T_BULK_REM_HELP]
		<p>Sie können mehrere User auf einmal aus diesem Account löschen, indem Sie die Emailadressen in<br>
		das Textfeld unten einfügen und auf den Button  "User löschen" klicken. </p>
		<p>&nbsp;</p>
		<p>Bitte nur eine Emailadresse pro Zeile. Im Beispiel geben sie <br>
		"hotmail" in die Textbox ein. damit werden alle User gelöscht deren Emailadresse "hotmail"<br> beinhaltet.
		 <br>
		<br>
		Ergebnis: hotmail@aol.com, mike@hotmail.com, myhotmail@email.com - werden alle von der Liste gelöscht </p>
[/T_BULK_REM_HELP]
[T_IMPORT_HELP]
	<p>Here you can add new contacts to your "current prospects" list and run <br>
	them through your entire message set. You can either paste them into <br>
	the "Insert text" box below or upload them in a txt file using the format
	below: <br>
	<br>
	<i>John Smith|his@email.com</i><br>
	or:<br>
	<i>his@email.com</i><br>
	or:<br>
	<i>&lt;his@email.com&gt; </i><br>
	or:<br>
	<i>John Smith &lt;his@email.com&gt; </i><br>
	or:<br>
	<i>John Smith his@email.com</i><br>
	or:<br>
	<i>John Smith his@email.com</i><br>
	<br>
	Nur ein Kontakt pro Zeile. Nach dem Eintrag den "Import Prospects" Button klicken.</p>
[/T_IMPORT_HELP]
[T_DOI_MESS]
To confirm your subscription, click on the link below
(es muss eine Onlineverbindung bestehen):

[CONFIRM_URL]

If you did not make the request, there is no need
to take any further action.
[/T_DOI_MESS]
[T_ATTANTIONFILES1]
<hr size="4" noshade>
<H1 class="mess">Attention!</H1>
These files  still exist on the server:
<UL>
[/T_ATTANTIONFILES1]
[T_ATTANTIONFILES2]
</UL><h2>Please remove them from the server after installation</H2><hr size=\"4\" noshade>
[/T_ATTANTIONFILES2]
