English	utf-8
LOCALIZ	Localization:
NO_UPPERCASE	Do not uppercase the first letter of prospects names:
DEF_CHARSET	Default character set:
SAV_ALL_SET	Save
POP_SET	POP3 Settings
IS_POP	Allow subscribing by sending blank email:
SUBSCR_EMAIL	Subscribe email:
POP_SERVER2	POP3 Server:
POP_USER2	POP3 Username:
POP_PASS	POP3 Password:
POP_PORT	POP3 Server port:
BAN_MAILS	Ban emails
BAN_LIST	Ban list (1 rule per line):
CUST_ERR_MSG	Custom error message:
SORTFILTER	Sort or filter by:
SORTFILTER_SEARCH	Search:
SORTFILTER_ORDER	Order:
USE_DATE_RANGE	Use date range:
REC_PER_PAGE	Records per page:
REC_PER_PAGE_SHOW	Show:
REC_PER_PAGE_RECORDS	records
SF_DISPLAY	Display!
SF_SAVETEXT	Save as text...
SF_REMOVE	Remove
SF_INV_STATUS	Invert status
SF_SEL_ALL	Select All
SF_DESEL_ALL	Deselect All
PROSPECT	Prospect
PROSPECTS2	prospects
PROSP_NAME	Name:
PROSP_MAIL	Email:
PROSP_BEGIN_DAY	Start with day:
PROSP_NO_SEQ	Without sequence
PROSP_ADD_BEGIN_DAY	Add prospects into sequence starting with day
PROSP_UPD_USER	Update user
BULK_REM	Bulk Removal
PROSP_REM_DB	removed from database
PROSP_REMOVE	Remove Prospects
PROSP_IMPORT	Import Prospects
INSERT_TEXT	Insert text:
OR_UPLOAD_FILE	or upload file:
SEND_SUBSC_ALL_PROSP	Send subscribe confirmation message to all imported prospects.
ADD_NO_SEQ	Only add new contacts to the mailing list
ADD_SEQ	Add prospects into sequence starting with day
COPY_PROSPS_FROM_ACC	Copy prospects from accounts
ACCOUNT	Account:
FILTER	Filter:
IMPORT	Import
PROSP_EXPORT_READY	prospects ready to export.
FORMAT	Format:
EXPORT_TO	Export to:
EXPORT	Export
SUB_UNSUB_MSG	Subscribe / unsubscribe messages
EDIT_DOI_CONF_MSG	Send double opt-in confirmation message
SEND_SUBSC_MSG	Send subscribe confirmation message
SEND_UNSUB_MSG	Send unsubscribe confirmation message
EDIT	Edit
PREVIEW	Preview
UPD_SETTINGS	Save
ADD_NEW_MSG	Add new message
SEQ_MSGS	Sequential messages:
SEQ_MSG_SUBJECT	Message Subject
ATTACH	Attach
SENT	Sent
DAY	Day
MANUAL_SHED_MSGS	Manual/Scheduled messages:
SHED_DATE	Schedule date
IN_PROGRESS	In progress
BROADCAST	Broadcast
TERM_PROC	Terminate process
TST_SND_STR1	Test send selected messages
TST_SND_STR2	to the following email address:
BTN_TEST_SEND	Test Send
SUBJECT	Subject:
TYPE	Type:
CHARSET	Charset:
PRIORITY	Priority:
MSG	Message:
ADD_ATTACH	Add attachment:
SEL_MSG_TYPE	Select the type of this message:
DAYS_AFTER_REG	Send after (days):
SAVE	Save
#########################	
#file accounts.dat	
#########################	
LOGOUT	LOGOUT
FEEDBACK_FORM	News/Support
GLOBAL_SETTS	System settings
GLOBAL_LENG	Languages
STATS	Statistics
XML_IMP	XML&nbsp;Import
XML_EXP	XML&nbsp;Export
BOUNC_MAILS	Bounced emails
MANUAL	Online manual
ADD_NEW_ACC	Add new account
CLONE	Clone:
BTN_NEW_ACC	Create account
#########################	
#file author.dat	
#########################	
AUTHOR_LINE1	To access the admin control panel,
AUTHOR_LINE2	you must enter the correct password.
PASSWORD	Password:
ENTER	ENTER
#########################	
#file bounce.dat	
#########################	
HANDLING_TOOL	Bounced email handling
POP_ACCS	POP3 Accounts
BOUNC_MSGS	Bounced messages
BLACKLIST	Blacklist
YOUR_POP_ACCS	Your POP3 accounts
NO_POP_ACCS_FOUND	No POP3 accounts found
TOTAL_ACCS	Total accounts:
POP_SERVER	POP3 Server:
POP_USER	POP3 User:
REM_PROSPS_AFTER	Remove prospects after:
BOUNC_HARD	hard bounces
BOUNC_SOFT	soft bounces
DEL_BOUNC_MSGS	Delete bounced messages
TEST_CONN	Test connection
STATUS	Status
TEST	Test
WITH_SEL	With selected:
DELETE	Delete
ACTIVATE	Activate
DEACTIV	Deactivate
TOTALS	Totals
NO_MSGS_FOUND	No messages found
TOTAL_DATES	Total dates:
DATE	Date
TOTAL	Total
TOTAL_HARD	Total hard
HARD	Hard
PROSPS_REMOVED	Prospect removed
PROSPS_INACT	Prospect deactivated
PROSP_NOT_FOUND	Prospect not found
SOFT	Soft
TOTAL_SOFT	Total soft
WAITING	Waiting
POP_SERV_SETTS	POP3 server connection settings
DEL_BNC_ML_SERV	Delete bounced emails from POP3 server
DEF_COUNT_BOUNC	Define number of bounced emails before removal 
REM_AFTER_HARD	Remove prospects after hard bounces:
REM_AFTER_SOFT	Remove prospects after soft bounces:
ACT_WITH_BOUNC	Actions with bounced prospects:
ACT_WITH_PROSP	Action with prospects
ADD_BNC_MAILS_BLACKL	Add bounced emails to the blacklist database
SAV_ACC	Save account
RESET	Reset
EMAIL	Email:
BOUNC_CODE	Bounce code:
HARD_SOFT	Hard/soft:
PROC_STAT	Processing status:
BOUNC_REASON	Bounce reason:
ORDER_BY	Order by:
SHOW_EMAILS_EXIST_PROS	Show email from existing prospects
DISPLAY	Display
NO_COL_BNC_MSGS_FOUND	No bounced messages found
EXP_MAIL_TXT	Export emails to a text file
TOTAL_MSGS	Total messages:
BOUNC_MAIL	Bounced email
PROSPS	Prospects
INACT	Inactive
RECVD	Received
PROC_STAT2	Processing status 
BNC_STATUS	Bounce status
BNC_REASON	Bounce reason
CODE	Code
HARD_SOFT2	Hard/Soft
BTN_DEL_MSGS	Delete messages
BTN_REM_PROSP	Remove prospect
BTN_ACT_PROSP	Activate prospect
BTN_INACT_PROSP	Inactivate prospect
RFC_ERR_DESCR	RFC1893 error code description 
CODE2	Code:
BACK_2_BNC_MSGS	Back to bounced messages
REG_SETTS	Registration settings
REJECT_SUBSCR	Reject subscription from blacklist emails
REG_ERR_MSG	Registration error message:
SAV_SETTS	Save settings
BNC_MAIL_BLACK	Bounced emails blacklist
IMP_MAILS	Import emails 
EXP_MAILS	Export emails 
NO_MAIL_FOUND	No emails found
TOTAL_EMAILS	Total emails:
IMP_PROSPS	Import email addresses
IMP_PROSPS_DESC	To import emails to the blacklist, paste the email addresses in the textbox below (one email per row). Email addresses will be validated for their correct syntax before importing.
BTN_IMPORT	Import
BULK_REM_DESC1	To remove emails from the blacklist, paste the email addresses into the text box below (one email per row) and click "Remove".
BULK_REM_DESC2	Enter one email per row. You can also use a mask. For example if you type "hotmail" in the text box this will remove all emails that contain hotmail in any part of the email address.
BULK_REM_DESC3	
BULK_REM_DESC4	For example "hotmail@aol.com", "mike@hotmail.com", "myhotmail@email.com" will all be removed from the list.
BTN_REMOVE	Remove
#########################	
#file daylystat.dat	
#########################	
BRODC_STARTED	Broadcaster has been started
TIMES_THIS_DAY	times today.
REPORT_GEN	This report was generated
#########################	
#file exportxml.dat	
#########################	
STEP1	Step 1 
STEP1_DESC1	Select an account, an XML file name, location and encoding of your XML file.
STEP1_DESC2	This wizard has 4 steps.
XML_DOC	XML document:
WHERE_STORE_XML_DOC	Location to save the XML file:
ENCODING	Encoding:
CREATE_XSD	Create XSD file with table scheme for Access 2002™:
NEXT2	NEXT [2] &gt;&gt;
XSD_DESC1	XSD file.
XSD_DESC2	If you create a XSD scheme file then you can easily import the table into Microsoft Access 2002™. The table has the same name as the filename.
XSD_DESC3	Examples: emails.xml or emails.xsd.
STEP2_SEL_FLDS	Step 2 - Select fields
STEP2_SEL_FLDS_DESC	Select the fields which you want to export. Click on 'Export >>' to start the export.
NEXT3	Export &gt;&gt;
STEP4_FINISH	Step 4 - Finish
XML_EXP_SUC	XML export was successful!
#########################	
#file importxml.dat	
#########################	
IMP_ST1_DESC1	Select an account, XML file and level where in the XML file the user data is stored.
IMP_ST1_DESC2	The XML file must be in your FUMP directory.
LEVEL_DATA_STORED	Level where user data is stored:
HERE_IS_SAMPLE	Here is a sample XML file, which you can import in Microsoft Access 2002™
STEP2_SEL_FLDS_DESC_IMP	Please select the mapping of fields to import the data.
STEP3	Step 3 - Check import. Click 'Import >>' to start the import.
BTN_IMPXML	Import &gt;&gt;
XML_IMP_SUC	XML import was successful!
PROSPS_WERE_ADD	prospects were added to the database.
#########################	
#file links.dat	
#########################	
YOUR_LINKS	Links overview
ADD_NEW_LINK	Add new link
NO_LINKS_FOUND	No links found
TOTAL_LINKS	Total links:
TEMPLATE	Template
NAMEE	Name
CLICKS	Clicks
PROSPECTS	Prospects
ISCLEAN	Clean
DEL_SELECTED	Delete selected
TOTALU	Total:
LINKS_DESC1	Edit links to add special tags in your emails to back trace user activity and view the efficiency of your mailings. 
LINKS_DESC2	In your emails you just need to place the special tag like [LINK123] instead of the direct link.
EDIT_LINK	Edit link
INS_NEW_LINK	Insert new link
LINK_PROPS	Link properties
UPD_LINK	Update link
SAV_LINK	Save new link
BTN_CANCEL	Cancel
SHOW_REC_FOR	Show records for: 
BTN_SHOW	Show
DATE2	Date:
LINK	Link:
MESSAGE	Message:
NO_PROSPS_FOUND	No prospects found
NO_CLICKS_FOUND	No clicks found
ACT_UNIQ_PROSPS	Unique clicks by prospects:
CLICKS_FOUND	Total clicks:
CL_NAME	Name
CL_MAIL	Email
CL_PROF	Profile
TOTAL_CLICKS_U	Total clicks:
#########################	
#file links.dat	
#########################	
REGISTRATION_ERROR	REGISTRATION ERROR
REGISTER	Register
#########################	
#file settings_shabl.dat	
#########################	
YOUR_PERS_INFO	Your personal information
YOUR_NAME	Your name:
YOUR_EMAIL	Your email:
YOUR_PERS_INFO_DESCR	These global admin settings are used for all accounts by default. You can also set up the global admin settings individually for any of your other accounts.
SEND_ME_BROAD_STAT	Send me broadcaster
SEND_ME_BROAD_STAT2	statistics by email:
BTN_UPD_SETTS	Save
MAIL_PROG_SETTS	Mail settings
SENDMAIL_PATH	Sendmail path:
SEND_THROUGH	Send through:
SMTP_SERVER	SMTP server:
SMTP_AUTH	SMTP authentication
SMTP_REQ_SASL	SMTP server require SASL (Simple Authentication and Security Layer RFC2554) authentication
SMTP_USER	SMTP username:
SMTP_PASS	SMTP password:
SEND_SPD	Performance settings
QUANT_PROCS	Number of concurrent processes:
OR_B	or
USE_OLD_ALG	<b>Send with single process (requires significant lower server resources)</b>
BOUNC_RET_PATH_OPTS	SMTP bounce return email address
USE_FOLLOW_UP	Email address to receive bounced emails:
1ST_WAY	1st way:
1ST_WAY2	Use sendmail -f flag with following address:
2ND_WAY	2nd way: Return-Path message header:
2ND_WAY2	Can be blank if you do not want to add this header.
2ND_WAY3	Tip: it is not advisable to add this header to your messages manually, but sometimes with Qmail it works.
3RD_WAY	3rd way: "Errors-To" message header:
3RD_WAY2	Can be blank if you do not want to add this header.
ADMIN_AREA_PASS	Password to access admin area
ADMIN_AREA_PASS_OLD	Old password:
ADMIN_AREA_PASS_NEW	New password:
ADMIN_AREA_PASS_RET	Retype password:
USE_PERIOD	Use period:
USE_PERIOD_TO	to
USE_PERIOD_BTN_SHOW	Show
ENABLE_LOG	Enable logging
BTN_OK	OK
BTN_CLENUP_LOGS_IN_RANGE	Cleanup logs in date range
BTN_CLEANUP_ALL_LOGS	Cleanup all logs
BROAD_LOG_TOTAL	Broadcaster log. Total
RECORDS	records.
CURRENT_OR_PREV_BR_LOG	Current or previous broadcast log:
ROWS_FOUND	rows found.
SAVE_LOG_INTO	Save logs to
SAVE_LOG_INTO_FILE	file.
BTN_SAVE_SETTS	Save settings
TIME_SYNCH	Time Synchronization
TIME_SYNCH_SRV_TIME	Server time:
TIME_SYNCH_CORR_TIME	Corrected time:
TIME_SYNCH_COR_TIME	Correction time:
TIME_SYNCH_HHMM	+hh:mm or -hh:mm
SETTS_REMOVE	Remove
SETTS_NAME	Name
SETTS_RESTORE	Restore
SETTS_DATE	Date
SETTS_SIZE	Size
BTN_REM_SEL	Remove selected
BTN_RESTORE	Restore
NEW_BACKUP	New Backup
NEW_BACKUP_NAME	New backup name:
NEW_BACKUP_NAME_CHARS	[a-z_0-9] characters only
BTN_BACKUP	Backup
MAIL_PROG_PERF_TEST	Mail program performance test
MAIL_PROG_PERF_TEST_DESC1	This test will tell you how long it takes your server to send out emails. 
MAIL_PROG_PERF_TEST_DESC2	Enter your email address below and click the
MAIL_PROG_PERF_TEST_DESC3	Test
MAIL_PROG_PERF_TEST_DESC4	button
MAIL_PROG_PERF_TEST_DESC5	once only
MAIL_PROG_PERF_TEST_DESC6	Follow Up Mailing List Processor will send emails to the address you enter. The process will be timed.
MAIL_PROG_PERF_TEST_DESC7	This test will use 
ENTER_YOUR_EMAIL_ADDRESS	Enter your email address
BLAST_SIZE	Blast size (30-300 messages)
MAIL_PROG_PERF_TEST_BTN_TEST	Test
MAIL_PROG_PERF_TEST_RESULTS	Mail program performance test results
MAIL_PROG_PERF_TEST_RESULTS1	messages have been sent to
MAIL_PROG_PERF_TEST_RESULTS2	The process has taken
MAIL_PROG_PERF_TEST_RESULTS3	seconds
MAIL_PROG_PERF_TEST_RESULTS4	Your
MAIL_PROG_PERF_TEST_RESULTS5	performance shown below: 
MAIL_PROG_PERF_TEST_RESULTS6	messages per minute
MAIL_PROG_PERF_TEST_RESULTS7	messages per hour
#########################	
#file responder.cgi	
#########################	
ACCOUNTMENU_MAIN	Account Menu
ACCOUNTMENU_OPTIONS	Account Options
ACCOUNTMENU_OPTIONS_DESCR	Edit settings for this specific mailing list including the setup for the POP3 subscribe/unsubscribe feature. You can set your "From" name and email address, redirect URL for subscribers and removals, admin notification and specify whether to use double opt-in. 
ACCOUNTMENU_HTML_FORM	HTML Form
ACCOUNTMENU_HTML_FORM_DESCR	Generate and preview the HTML for the subscription box that will be pasted into the pages of your website. You can also add and delete extra fields such as phone, fax, street address, etc. 
ACCOUNTMENU_SUBSCR_MAN	Subscriber Manager
ACCOUNTMENU_SUBSCR_MAN_DESCR	Add to, edit and backup your prospect list or copy a list from another account. 
ACCOUNTMENU_EDIT_MESS	Edit Messages
ACCOUNTMENU_EDIT_MESS_DESCR	Add and edit your personalized broadcast mailing and sequential autoresponder messages, including automatic subscribe and unsubscribe confirmations and attached files. From here you also start all your broadcasts (mailouts).
ACCOUNTMENU_LINKS	Link&nbsp;Tracker
ACCOUNTMENU_LINK	Link
ACCOUNTMENU_LINKS_DESCR	Add and edit your links to view link tracking statistics of your mailing.
ACCOUNTMENU_LINKS_MESS_STAT	Statistics
ACCOUNTMENU_LINKS_ACT_PROSP	Active prospects
ACCOUNTMENU_LINKS_CLICKS	Clicks
SETTINGSMENU_MAIN	Main
SETTINGSMENU_PERSONAL	Personal
SETTINGSMENU_PERSONAL_DESCR	Set your username and email address to receive mailing reports and notifications when someone subscribes/unsubscribed.
SETTINGSMENU_SENDING_OPTIONS	Send Options
SETTINGSMENU_SENDING_OPTIONS_DESCR	Mailing method setup. Select and setup either your web server mail program and path or the address of your SMTP server. Additionally you may setup headers like <i>"Return-Path"</i> or <i>"Errors-To"</i> to define mailbox for bounced messages.
SETTINGSMENU_ACCESS	Access
SETTINGSMENU_ACCESS_DESCR	You can change your admin area login password here.
SETTINGSMENU_TIME_SYNC	Time Settings
SETTINGSMENU_TIME_SYNC_DESCR	Synchronize your server's time with your local time. Useful for scheduled and time sensitive mailouts. 
SETTINGSMENU_PERFOM	Performance
SETTINGSMENU_PERFOM_DESCR	This is a facility to test the performance of your server in sending out emails.
SETTINGSMENU_BACUP_RESTORE	Backup/Restore
SETTINGSMENU_BACUP_RESTORE_DESCR	Backup and restore your database.
STATMENU_MAIN	Main
STATMENU_ACT_LOGS	Activity Logs
STATMENU_ACT_LOGS_DESCR	View the broadcaster logs and subscribe/unsubscribe logs within a specified date range. It shows the records and time frame when the program executed your commands.
STATMENU_CURRENT_BROADCAST	Current Broadcast Log
STATMENU_CURRENT_BROADCAST_DESCR	Information about the current broadcaster progress.
STATMENU_TOTALS	Totals
STATMENU_TOTALS_DESCR	Total amount of subscribers/unsubscribers and messages sent in the accounts.
STATMENU_TOTALS_SENT_MESS	Sent messages
STATMENU_TOTALS_SUBSCRIBERS	Subscribers
STATMENU_TOTALS_PROSPECTS	Prospects
PROSPMENU_ADD_PROSP	Add new prospect
PROSPMENU_IMPORT	Import list
PROSPMENU_EXPORT	Export list
PROSPMENU_COPY	Copy from account
PROSPMENU_BULK_REMOVE	Bulk removal
ERROR_NOT_CHANGE_URL	Please do not change the URL
ERROR	Error
MENU_GO	Go
ERROR_YOUR_NAME_REQUIRED	Your name is required
ERROR_EMAIL_INCORRECT	Email is incorrect
ERROR_EMAIL_REQUIRED	Email is required
ERROR_REQUIRED	Required
ERROR_DUBL	Duplicating
ERROR_CANT_LOCK_FILE	cannot lock file for writing
ERROR_REQUIRED_SMALL	required
MESS_SETTINGS_UPDATED	Settings updated
ERROR_FILENAME_INCORRECT	Incorrect filename
ERROR_INCORRECT	Incorrect
ERROR_NOT_EQUAL	Not equal
ERROR_NOT_SELECTED	Not selected
ERROR_REQUIRED_SENDMAIL	Sendmail required
ERROR_INCORRECT_SENDMAIL_PATH	Incorrect path to sendmail
ERROR_INCORRECT_SENDMAIL_NOT_EXISTS	Sendmail does not exist on this server
ERROR_REQUIRED_SMTP	SMTP server name is required
ERROR_INCORRECT_FORMAT	Incorrect format
MESS_LOGOUT_TO_CHECK	Logout to check
ERROR_CANT_OPEN_DIR	Cannot open directory
ERROR_CANT_UNLINK_FILE	Cannot delete file
ERROR_CANT_CREATE_DIR	Cannot create directory
ERROR_CANT_OPEN_FILE	Cannot open file
ERROR_CANT_WRITE	for writing
ERROR_NEED_TO_CREATE	You need to create a file
ERROR_NEED_TO_CREATE2	and set it’s permissions to CHMOD 666 
ERROR_SHORTER_THEN_3	Must be more than 3 characters
MONTH_1	January
MONTH_2	February
MONTH_3	March
MONTH_4	April
MONTH_5	May
MONTH_6	June
MONTH_7	July
MONTH_8	August
MONTH_9	September
MONTH_10	October
MONTH_11	November
MONTH_12	December
MESS_NO_BROADCAST_LOG	No current or previous broadcast logs found
BROADCAST_LOG_PROC	Proc #
BROADCAST_LOG_TIME	Time
BROADCAST_LOG_STATUS	Status
BROADCAST_LOG_MAIN	main
STAT_NO_MESS	No messages for this date
STAT_STATISTICS	Statistics
STAT_TOTAL_PROSP	Total prospects
STAT_ACCOUNT	Account
STAT_SEQUNTIAL	Sequential
STAT_ACT_PROSP	Active prospects
STAT_INACT_PROSP	Inactive prospects
STAT_TOTAL	Total
STAT_NO_LOGS_FOUND	No logs found
STAT_SHEDULED	Scheduled
STAT_MANUAL	Manual
STAT_DOI	Double opt-in
STAT_SUBSCRIBE	Subscribe
STAT_UNSUBSCRIBE	Unsubscribe
STAT_SUBSCRIBERS	Subscribers
STAT_UNSUBSCRIBERS	Unsubscribers
STAT_SENT_MESS_STAT	Sent messages statistics
STAT_SUBSCRIBERS_STAT	Subscribers statistics
STAT_PERIOD_FOR	for
STAT_PERIOD_FROM	from
STAT_PERIOD_TILL	till
TXT_EMAIL_ADDRESS	Email
TXT_NAME	Name
ERROR_IS_ALREADY_EXISTS	already exists
ERROR_NUMBER_REQUIRED	Must be the number
ERROR_TO_BIG	Number too large
ERROR_ALREADY_USED	already used
ERROR_USER_NOT_FOUND	Error: Bad request USER not found
TXT_MODE_NEW	New
TXT_MODE_EDIT	Edit
USR_SENT_MESS	Sent messages
USR_SENT_RECORDS_IN_LOGS	records in logs
USR_SENT_MESSAGE	Message
USR_SENT_DATE	Date
USR_BROWSER_PAGE	Page
USR_BROWSER_PROSPECTS	prospects
USR_BROWSER_PREVIOUSE	Previous
USR_BROWSER_NEXT	Next
USR_BROWSER_SHOWING	Showing
USR_BROWSER_FROM	from
USR_BROWSER_NO_RECORDS_FOUND	No matching records found
USR_BROWSER_INACTIVE	Inactive
USR_BROWSER_ACTIVE	Active
USR_BROWSER_PENDING	Pending
USR_BROWSER_CYCLE_DISABLED	Disabled
USR_BROWSER_EDIT_USER	Edit user
USR_BROWSER_HEAD_SENT	Sent
USR_BROWSER_HEAD_STATUS	Status
USR_BROWSER_HEAD_DATE	Date
USR_BROWSER_HEAD_CYCLE	Cycle
USR_BROWSER_HEAD_HOST	Host
USR_BROWSER_HEAD_USERID	UserID
USR_BROWSER_USERS_REMOVED	prospects removed
USR_BROWSER_USERS_CHANGED	prospects changed
USR_BROWSER_USERS_SHOW_FIELDS	Show fields
USR_BROWSER_USERS_SHOW_EXTRA	Show extra
USR_BROWSER_USERS_SORT_ASC	Ascending
USR_BROWSER_USERS_SORT_DESC	Descending
USR_BROWSER_FINISHED	Finished
USR_BROWSER_ALL	All
USR_BROWSER_CANT_IMPORT	Cannot import - found 0 prospects in the other account
USR_BROWSER_EXPORTED	Exported
USR_BROWSER_CANT_EXPORT	Cannot export - found 0 prospects
USR_BROWSER_EXPORT_EMAIL_ONLY	EMAIL only
USR_BROWSER_EXPORT_EMAIL	EMAIL
USR_BROWSER_EXPORT_NAME	NAME
USR_BROWSER_EXPORT_FILE	File
USR_BROWSER_EXPORT_PAGE	Page
USR_BROWSER_BULK_QUERY_INCORRECT	Bulk query is incorrect
USR_BROWSER_BULK_CURRENT_ACCOUNT	Current account
USR_BROWSER_BULK_ALL_ACCOUNTS	All accounts
USR_BROWSER_IMPORT_PROSPADD	prospects added
USR_BROWSER_IMPORT_ERRORS_DETECTED	errors detected
ERROR_FIELD_NAME_INCORRECT	Field name is incorrect
HTML_FORM_FIELD_NAME	Field name
HTML_FORM_ERR_RESERVED	is reserved
HTML_FORM_ERR_USED	is already used
HTML_FORM_ERR_EMPTY	is empty
HTML_FORM_SUBSCRIBE_ACCOUNTS	Select accounts where you automatically want to subscribe prospects<br>when they subscribe to this account.
HTML_FORM_SAVE_ACCOUNTS	Save accounts
HTML_FORM_UNSUBSCRIBE_ACCOUNTS	Select accounts where you automatically want to unsubscribe prospects<br>when they subscribe to this account.
HTML_FORM_UNSUBSCRIBE_ALL	Unsubscribe from all other accounts
HTML_FORM_ADD_NEW	Add a new field
HTML_FORM_NAME	Name
HTML_FORM_RESERVED	Reserved
HTML_FORM_EMAIL	Email
HTML_FORM_CONFIRM	Are you sure you want to delete this field? Data can be lost!
HTML_FORM_YOU_HAVE	You have
HTML_FORM_COSTUM_FIELDS	custom field(s)
HTML_FORM_DROP	Drop
HTML_FORM_UP	UP
HTML_FORM_DOWN	DOWN
HTML_FORM_MOVE	Move
HTML_FORM_SUBSCRIBE	Subscribe
ERROR_URL_INCORRECT	URL is incorrect
TXT_DEFAULT	Default
ERROR_CANT_UPLOAD_FILE	Unable to upload file
ERROR_CANT_FIND_EMAIL	Unable to find email address
TXT_LINE	Line
TXT_EMAIL	email
TXT_ISINCORRECT	is incorrect
TXT_IS_EXISTS	already exists
TXT_IS_BOUNSED	is in the email blacklist
MESS_ERR_CONFIRM	Message body must contain a special tag
ERROR_DATE_INCORRECT	Date is incorrect
MESS_CREATE_NEWMESS	Creating new message
MESS_EDIT_MESS	Edit message
MESS_DOWNLOAD_ATTACH	Download attachment
MESS_ATTACHMENTS	Attachments
MESS_TYPE_SCHEDULED	At date
MESS_BROADCAST_STARTED	Broadcaster started in background
MESS_PREVIEW	Preview
LINKS_ALL_MONTH	Entire month
LINKS_ALL_MESS	All messages
LINKS_ALL_LINKS	All links
LINKS_CHANGE	Change
LINKS_CHANGE_LINK	Change link
MESS_PERS_EXTRA	Extra merge field words
MESS_PERS_LOAD_FROM_FILE	Load content from file
MESS_PERS_LOAD_FROM_TEMPL	Load content from templates
MESS_PERS_REDIR_LINK	redirect link
MESS_PERS_REDIR_LINK_TO	to
MESS_PERS_TRACK	Tracking links
MESS_PERS_NEW	New
TXT_VIEW	View
LINKS_MESSAGES_LINKS_ACT	Link activity
LINKS_VIEW_PROSP	View prospects
LINKS_VIEW_CLICKS	View clicks
ACCOUNT_EXISTS	Account already exists
ACCOUNT_INVALID_NAME	Invalid account name
ACCOUNT_NO_ACCOUNTS	No accounts
ACCOUNT_YOUR_ACCOUNTS	Accounts
ACCOUNT_DISABLED	Disabled
ACCOUNT_DELETE_QUESTION	Are you sure you want to delete the selected accounts?
ACCOUNT_INVERT_STATUS	Invert status
LANG_SELECT_LANG	Select Language
LANG_SELECT_LANG_TABHEADER	Select application language
LANG_LANG	Language
#########################	
#file bounce.cgi	
#########################
BOUNCE_ERROR	BOUNCE PROCESSING ERROR
BOUNCE_ERROR_HEADER	BOUNCE PROCESSING ERROR – Unable to load module Mail::DeliveryStatus::BounceValidator
BOUNCE_ERROR_DESCR1	Unable to load module Mail::DeliveryStatus::BounceValidator
BOUNCE_ERROR_DESCR2	Please check if the file <B>BounceValidator.pm</b> exists in the lib/Mail/DeliveryStatus/ directory or ask your website host to install the MIME::Tools modules.
BOUNCE_ERROR_TXT	Error
BOUNCE_ERROR_ACTION	Action
BOUNCE_ERROR_ACTION_WAS_NOTFOUND	was not found
BOUNCE_ERROR_CANT_OPEN_CONN	Error: Can't open connection to
BOUNCE_CONNECTED	CONNECTED
BOUNCE_CONNECTED_AUTH	Authenticating with user
BOUNCE_CONNECTED_AUTH_AND_PASS	and password **********
BOUNCE_CONNECTED_LOGGED	Logged in
BOUNCE_CONNECTED_FETCH	Downloading messages
BOUNCE_CONNECTED_YOU_HAVE	You have
BOUNCE_CONNECTED_YOU_HAVE_MESS	messages in your mailbox
BOUNCE_CONNECTED_LOADING	Loading first
BOUNCE_CONNECTED_LOADING_MESS	messages
BOUNCE_CONNECTED_LOADING_EMPTY	Your mailbox is empty
BOUNCE_ERROR_VALIDATOR	BounceValidator error: Cannot parse message
BOUNCE_LOAD_MSG	Loading message
BOUNCE_LOAD_MSG_IS_BOUNC	This message bounced
BOUNCE_LOAD_MSG_EMAIL_IS	Bounced email is
BOUNCE_LOAD_MSG_EMAIL_IS_DIAG	Diagnostic
BOUNCE_LOAD_MSG_CANT_LOAD	Error: Can't load message
BOUNCE_COUNT_TOTAL	Total
BOUNCE_COUNT_TOTAL_MSGS	bounced messages in your mailbox
BOUNCE_TEST_OK	Test is OK
BOUNCE_TEST_ERROR	Error: Can't authenticate - Incorrect POP3 settings
BOUNCE_PAGE_REM_MAIL_ALL_ACC	Remove email from all accounts
BOUNCE_PAGE_SET_STATUS_INACT	Set status of prospects to inactive
BOUNCE_PAGE_ADD_NEW_POP	Adding new POP3 account
BOUNCE_PAGE_EDIT_POP	Edit POP3 account
BOUNCE_STATUS_WAITING	Waiting
BOUNCE_STATUS_REMOVED	Prospect removed
BOUNCE_STATUS_INACTIV	Prospect deactivated
BOUNCE_STATUS_NOTFOUND	Prospect not found
BOUNCE_STATUS_PROC_MAN	Processed manually
BOUNCE_SORT_HARD	Hard
BOUNCE_SORT_SOFT	Soft
BOUNCE_SORT_DATE	Date
BOUNCE_SORT_MAIL	Email
BOUNCE_SORT_ASC	Ascending
BOUNCE_SORT_DESC	Descending
BOUNCE_INPUT_REM_PROSP	Remove prospects
BOUNCE_INPUT_REM_PROSP_SURE	Are you sure you want to delete
BOUNCE_INPUT_REM_PROSP_SURE_MAILS	emails
BOUNCE_INPUT_REM_PROSP_CANCEL	Cancel
BOUNCE_INPUT_BACK_BLACKLIST	Back to blacklist
BOUNCE_EMAILS_WERE_REM	emails were removed from blacklist
BOUNCE_EMAILS_WERE_ADD	emails were added to blacklist
BOUNCE_ERROR_DELIVER_MSGS	Sorry, but we are unable to add this address. Please try again with a different email address.
BOUNCE_SETTS_UPDATED	Settings updated
#########################	
#file xmlimport.cgi	
#########################
XMLI_ERROR_BNC_PROC	BOUNCE PROCESSING ERROR
XMLI_ERROR_BNC_PROC_TXT	XML IMPORT ERROR - Cannot load module XML::Parser
XMLI_ERROR_BNC_PROC_TXT_DESCR1	Cannot load module
XMLI_ERROR_BNC_PROC_TXT_DESCR2	Please ask your website host to install
XMLI_ERROR_BNC_PROC_TXT_DESCR2_1	the modules.
XMLI_ERROR_BNC_PROC_ERROR	Error
