Spanish - ISO-8859-1
#First line must have format:
#LANGNAME<TAB>ENCODING
###################################################
#Created by Konstantin Ursaloff and Andrey Stepanuk
#Follow Up Mailing List Processor PRO 4.20.03
#Lang file version: 1.1
#Last modified 24/10/2005
#Traduccion al español por Santos Jaimes
#Spanish translation by Santos Jaimes
#Contactar Santos Jaimes via Sellwide about this translation
#Contact Santos Jaimes via Sellwide sobre esta traduccion
###################################################
#########################	
#file account_shabl.dat	
##########################
#Version 4.21
LINK_CLEAN	clean
PROSPMENU_IMPORT	Importar lista
PROSPMENU_EXPORT	Exportar lista
PROSPMENU_COPY	Copiar de una cuenta
PROSPMENU_BULK_REMOVE	Remover Varios
ERROR_NOT_CHANGE_URL	Por favor no cambie el URL
ERROR	Error
MENU_GO	Ir
ERROR_YOUR_NAME_REQUIRED	Es necesario su nombre
ERROR_EMAIL_INCORRECT	Correo incorrecto
ERROR_EMAIL_REQUIRED	Correo es requerido
ERROR_REQUIRED	Requerido
ERROR_DUBL	Duplicado
ERROR_CANT_LOCK_FILE	No se puede escribir en archivo
ERROR_REQUIRED_SMALL	requerido
MESS_SETTINGS_UPDATED	Configuración actualizada
ERROR_FILENAME_INCORRECT	Nombre de archivo incorrecto
ERROR_INCORRECT	Incorrecto
ERROR_NOT_EQUAL	No es igual
ERROR_NOT_SELECTED	No seleccionado
ERROR_REQUIRED_SENDMAIL	Sendmail requerido
ERROR_INCORRECT_SENDMAIL_PATH	Path a sendmail incorrecto
ERROR_INCORRECT_SENDMAIL_NOT_EXISTS	Sendmail no existe en el servidor
ERROR_REQUIRED_SMTP	Se requiere nombre del servidor SMTP
ERROR_INCORRECT_FORMAT	Formato incorrecto
MESS_LOGOUT_TO_CHECK	Salir verificar
ERROR_CANT_OPEN_DIR	No se abre directorio
ERROR_CANT_UNLINK_FILE	No borra archivo
ERROR_CANT_CREATE_DIR	No crea directorio
ERROR_CANT_OPEN_FILE	No abre archivo
ERROR_CANT_WRITE	para escribir
ERROR_NEED_TO_CREATE	Necesita crear archivo
ERROR_NEED_TO_CREATE2	y configurar permiso CHMOD 666 en su servidor
ERROR_SHORTER_THEN_3	Debe usar mas de 3 caracteres
MONTH_1	Enero
MONTH_2	Febrero
MONTH_3	Marzo
MONTH_4	Abril
MONTH_5	Mayo
MONTH_6	Junio
MONTH_7	Julio
MONTH_8	Agosto
MONTH_9	Septiembre
MONTH_10	Octubre
MONTH_11	Noviembre
MONTH_12	Diciembre
MESS_NO_BROADCAST_LOG	No se encontró logs actuales o antiguos del transmisor
BROADCAST_LOG_PROC	Proc #
BROADCAST_LOG_TIME	Hora
BROADCAST_LOG_STATUS	Estatus
BROADCAST_LOG_MAIN	Principal
STAT_NO_MESS	No hay mensajes para esta fecha
STAT_STATISTICS	Estadísticas
STAT_TOTAL_PROSP	Numero total de prospectos en la cuenta
STAT_ACCOUNT	Cuenta
STAT_SEQUNTIAL	Secuencial
STAT_ACT_PROSP	Activar prospectos
STAT_INACT_PROSP	Desactivar prospectos
STAT_TOTAL	Total
STAT_NO_LOGS_FOUND	No se encontró logs
STAT_SHEDULED	Programado
STAT_MANUAL	Manualmente
STAT_DOI	Doble confirmación
STAT_SUBSCRIBE	Suscribir
STAT_UNSUBSCRIBE	Remover
STAT_SUBSCRIBERS	Suscriptores
STAT_UNSUBSCRIBERS	Removidos
STAT_SENT_MESS_STAT	Enviar mensaje de estadísticas
STAT_SUBSCRIBERS_STAT	Estadísticas de suscriptores
STAT_PERIOD_FOR	for
STAT_PERIOD_FROM	De
STAT_PERIOD_TILL	hasta
TXT_EMAIL_ADDRESS	Correo
TXT_NAME	Nombre
ERROR_IS_ALREADY_EXISTS	Ya existe
ERROR_NUMBER_REQUIRED	Debe ser el número
ERROR_TO_BIG	Número muy grande
ERROR_ALREADY_USED 	ya en uso
ERROR_USER_NOT_FOUND	ERROR: bad request USUARIO no encontrado
TXT_MODE_NEW	Nuevo
TXT_MODE_EDIT	Editar
USR_SENT_MESS	Mensajes enviados
USR_SENT_RECORDS_IN_LOGS 	records en los logs
USR_SENT_MESSAGE	Mensaje
USR_SENT_DATE	Fecha
USR_BROWSER_PAGE	Página
USR_BROWSER_PROSPECTS	prospectos
USR_BROWSER_PREVIOUSE	Anterior
USR_BROWSER_NEXT	Siguiente
USR_BROWSER_SHOWING	Mostrando
USR_BROWSER_FROM	de
USR_BROWSER_NO_RECORDS_FOUND	NO SE ENCONTRO RECORDS
USR_BROWSER_INACTIVE	desactivar
USR_BROWSER_ACTIVE	activar
USR_BROWSER_PENDING	pendiente
USR_BROWSER_CYCLE_DISABLED	desactivado
USR_BROWSER_EDIT_USER	Editar usuario
USR_BROWSER_HEAD_SENT	Enviado
USR_BROWSER_HEAD_STATUS	Estatus
USR_BROWSER_HEAD_DATE	Fecha
USR_BROWSER_HEAD_CYCLE	Ciclo
USR_BROWSER_HEAD_HOST	Host
USR_BROWSER_HEAD_USERID	UsuarioID
USR_BROWSER_USERS_REMOVED	prospectos removidos
USR_BROWSER_USERS_CHANGED	prospectos cambiados
USR_BROWSER_USERS_SHOW_FIELDS	Ver campos
USR_BROWSER_USERS_SHOW_EXTRA	Mostrar extras
USR_BROWSER_USERS_SORT_ASC	Ascender
USR_BROWSER_USERS_SORT_DESC	Descender
USR_BROWSER_FINISHED	termino
USR_BROWSER_ALL	todos
USR_BROWSER_CANT_IMPORT	No se puede importar - se encontró 0 prospectos en otras cuentas
USR_BROWSER_EXPORTED	Exportado
USR_BROWSER_CANT_EXPORT	No se puede exportar - se encontró 0 prospectos
USR_BROWSER_EXPORT_EMAIL_ONLY	Correo solamente
USR_BROWSER_EXPORT_EMAIL	Correo
USR_BROWSER_EXPORT_NAME	Nombre
USR_BROWSER_EXPORT_FILE	archivo
USR_BROWSER_EXPORT_PAGE	pagina
USR_BROWSER_BULK_QUERY_INCORRECT 	Acción para varios incorrecto
USR_BROWSER_BULK_CURRENT_ACCOUNT	Cuenta actual
USR_BROWSER_BULK_ALL_ACCOUNTS	Todas las cuentas
USR_BROWSER_IMPORT_PROSPADD	prospectos agregados
USR_BROWSER_IMPORT_ERRORS_DETECTED	errores detectados
ERROR_FIELD_NAME_INCORRECT	Nombre del campo incorrecto
HTML_FORM_FIELD_NAME	Nombre del campo
HTML_FORM_ERR_RESERVED	es reservado
HTML_FORM_ERR_USED	ya esta en uso
HTML_FORM_ERR_EMPTY	esta vacío
HTML_FORM_SUBSCRIBE_ACCOUNTS	Seleccione cuentas donde quiere que automaticamente los <B>suscriptores</B> se suscriban al suscribirse a esta cuenta
HTML_FORM_SAVE_ACCOUNTS	Guardar cuentas
HTML_FORM_UNSUBSCRIBE_ACCOUNTS	Seleccione cuentas de donde quiere que automaticamente los <B>suscriptores</B> se remuevan al suscribirse a esta cuenta
HTML_FORM_UNSUBSCRIBE_ALL	Remover de todas las cuentas
HTML_FORM_ADD_NEW	Presione para crear campo nuevo
HTML_FORM_NAME	Nombre
HTML_FORM_RESERVED	Reservado
HTML_FORM_EMAIL	Correo
HTML_FORM_CONFIRM	Esta seguro que quiere borrar este campo? Se puede perder algunos datos!
HTML_FORM_YOU_HAVE	You have
HTML_FORM_COSTUM_FIELDS	tu(s) campo(s)
HTML_FORM_DROP	Quitar
HTML_FORM_UP	SUBIR
HTML_FORM_DOWN	BAJAR
HTML_FORM_MOVE	Mover
HTML_FORM_SUBSCRIBE	Suscribir
ERROR_URL_INCORRECT	URL incorrecto
TXT_DEFAULT	Predeterminado
ERROR_CANT_UPLOAD_FILE	No se puede subir archivo
ERROR_CANT_FIND_EMAIL	No se encuentra el correo
TXT_LINE	Linea
TXT_EMAIL	correo
TXT_ISINCORRECT	es incorrecto
TXT_IS_EXISTS	ya existe
TXT_IS_BOUNSED	esta en la lista negra de correos rebotados
MESS_ERR_CONFIRM	Cuerpo del mensaje de contener tag especial
ERROR_DATE_INCORRECT	Fecha incorrecta
MESS_CREATE_NEWMESS	Creando este nuevo mensaje en cuenta
MESS_EDIT_MESS	Editar mensaje
MESS_DOWNLOAD_ATTACH	Bajar archivo adjunto
MESS_ATTACHMENTS	Archivos adjuntos
MESS_TYPE_AUTO	Autoresponder
MESS_TYPE_MANUAL	Manualmente
MESS_TYPE_SCHEDULED	En fecha
MESS_BROADCAST_STARTED	Transmisor iniciado 
MESS_PREVIEW	Vista preliminar
LINKS_ALL_MONTH	Todos los meses
LINKS_ALL_MESS	Todos los mensajes
LINKS_ALL_LINKS	Todos los enlaces
LINKS_CHANGE	Cambiar
LINKS_CHANGE_LINK	Cambiar enlace
MESS_PERS_EXTRA	Extra merge field words
MESS_PERS_LOAD_FROM_FILE	Incluir contenido de archivos
MESS_PERS_LOAD_FROM_TEMPL	Incluir contenido de plantillas
MESS_PERS_REDIR_LINK	Enlace de re-direccion
MESS_PERS_REDIR_LINK_TO	a
MESS_PERS_TRACK	Tracking Enlaces
MESS_PERS_NEW	Nuevo
TXT_VIEW	Ver
LINKS_MESSAGES_LINKS_ACT	Enlaces de actividad de mensajes
LINKS_VIEW_PROSP	Ver prospectos
LINKS_VIEW_CLICKS	Ver clicks
ACCOUNT_EXISTS	Account ya existe
ACCOUNT_INVALID_NAME	Nombre de cuenta invalido
ACCOUNT_NO_ACCOUNTS	No hay cuentas
ACCOUNT_YOUR_ACCOUNTS	Sus cuentas
ACCOUNT_DISABLED	Desactivado
ACCOUNT_DELETE_QUESTION	Esta seguro que quiere borrar las cuentas seleccionadas?
ACCOUNT_INVERT_STATUS	Invertir estatus
LANG_SELECT_LANG	Por favor elija su idioma.
LANG_SELECT_LANG_TABHEADER	Seleccione su idioma predeterminado.
LANG_LANG	Idioma
#########################	
#file bounce.cgi	
#########################
BOUNCE_ERROR	ERROR DE REBOTE
BOUNCE_ERROR_HEADER	ERROR DE REBOTE - no se puede cargar modulo Mail::DeliveryStatus::BounceValidator
BOUNCE_ERROR_DESCR1	No se puede cargar modulo Mail::DeliveryStatus::BounceValidator
BOUNCE_ERROR_DESCR2	Por favor verificar que el archivo <B>BounceValidator.pm</b> exista en el directorio lib/Mail/DeliveryStatus/ o solicite a su compañia de alojamiento web que instale MIME::Tools modules
BOUNCE_ERROR_TXT	Error
BOUNCE_ERROR_ACTION	Acción
BOUNCE_ERROR_ACTION_WAS_NOTFOUND	no se encontró
BOUNCE_ERROR_CANT_OPEN_CONN	Error: No se puede abrir conexión a:
BOUNCE_CONNECTED	CONECTADO
BOUNCE_CONNECTED_AUTH	Autenticando con usuario
BOUNCE_CONNECTED_AUTH_AND_PASS	y contraseña **********
BOUNCE_CONNECTED_LOGGED	Ingresado
BOUNCE_CONNECTED_FETCH	buscando mensajes
BOUNCE_CONNECTED_YOU_HAVE	Ud tiene
BOUNCE_CONNECTED_YOU_HAVE_MESS	mensajes en su buzón
BOUNCE_CONNECTED_LOADING	Cargando primeros
BOUNCE_CONNECTED_LOADING_MESS	mensajes
BOUNCE_CONNECTED_LOADING_EMPTY	Su buzón esta vacío
BOUNCE_ERROR_VALIDATOR	error de BounceValidator : No se puede resolver mensaje
BOUNCE_LOAD_MSG	Cargando mensajes
BOUNCE_LOAD_MSG_IS_BOUNC	Este mensaje reboto
BOUNCE_LOAD_MSG_EMAIL_IS	Correo rebotado es
BOUNCE_LOAD_MSG_EMAIL_IS_DIAG	Diagnosticando
BOUNCE_LOAD_MSG_CANT_LOAD	Error: No se puede cargar mensaje
BOUNCE_COUNT_TOTAL	Total
BOUNCE_COUNT_TOTAL_MSGS	mensajes rebotados en su buzón
BOUNCE_TEST_OK	Prueba exitosa
BOUNCE_TEST_ERROR	Error: No se puede autenticar: Configuración POP3 incorrecto.
BOUNCE_PAGE_REM_MAIL_ALL_ACC	Remover correos de todas las cuentas
BOUNCE_PAGE_SET_STATUS_INACT	Cambiar estatus de prospectos a inactivo
BOUNCE_PAGE_ADD_NEW_POP	Agregando nueva cuenta POP3
BOUNCE_PAGE_EDIT_POP	Editando cuenta POP3 existente
BOUNCE_STATUS_WAITING	Esperando
BOUNCE_STATUS_REMOVED	Prospecto removido
BOUNCE_STATUS_INACTIV	Prospecto desactivado
BOUNCE_STATUS_NOTFOUND	Prospecto no encontrado
BOUNCE_STATUS_PROC_MAN	Procesado manualmente
BOUNCE_SORT_HARD	Duros
BOUNCE_SORT_SOFT	Suaves
BOUNCE_SORT_DATE	Fecha
BOUNCE_SORT_MAIL	Correo
BOUNCE_SORT_ASC	Ascendiente
BOUNCE_SORT_DESC	Descendiente
BOUNCE_INPUT_REM_PROSP	Remover prospectos
BOUNCE_INPUT_REM_PROSP_SURE	Esta seguro que quiere borrarlos
BOUNCE_INPUT_REM_PROSP_SURE_MAILS	correos
BOUNCE_INPUT_REM_PROSP_CANCEL	Cancelar
BOUNCE_INPUT_BACK_BLACKLIST	Regresar a lista negra
BOUNCE_EMAILS_WERE_REM	correos fueron removidos de lista negra
BOUNCE_EMAILS_WERE_ADD	correos fueron agregados a lista negra
BOUNCE_ERROR_DELIVER_MSGS	Lo siento pero tiene problemas enviando mensajes a este correo
BOUNCE_SETTS_UPDATED	Configuración actualizada
#########################	
#file xmlimport.cgi	
#########################
XMLI_ERROR_BNC_PROC	ERROR DE REBOTE
XMLI_ERROR_BNC_PROC_TXT	ERROR DE IMPORTACION XML - no se puede cargar modulo XML::Parser
XMLI_ERROR_BNC_PROC_TXT_DESCR1	no se puede cargar modulo
XMLI_ERROR_BNC_PROC_TXT_DESCR2	Por favor solicite a su compañía de alojamiento que instale
XMLI_ERROR_BNC_PROC_TXT_DESCR2_1	módulos
XMLI_ERROR_BNC_PROC_ERROR	Error
XMLI_MSG	No cambie el URL
XMLI_MSG_PROSPS_WERE_ADDED	prospectos fueron agregados y
XMLI_MSG_PROSPS_WERE_UPD	actualizados en la base de datos
XMLI_MSG_TOTAL_ELMS	Elementos totales en el archivo XML
XMLI_ERR_ELEMENT	Elemento
XMLI_ERR_ELEMENT_EMAIL	correo
XMLI_ERR_ELEMENT_EMAIL_INCORR	es incorrecto
XMLI_ERR_ELEMENT_EMAIL_ALR_EX	ya existía, y fue actualizado
XMLI_ERR_ELEMENT_EMAIL_WAS_NOT_ADDED_SQL	no fue agregado a base de datos SQL error
#########################	
#file xmlexport.cgi	
#########################
XMLE_PAGE_FUMP_DIR	al directorio de FUMP
XMLE_PAGE_INTO_BRO	al Navegador
XMLE_PAGE_SAVE_AS_FILE	Guardar como archivo
XMLE_PAGE_ENC_DEF	<predeterminado>
XMLE_FIELDS_REG_DATE	Fecha de registro
XMLE_FIELDS_EMAIL	Correo
XMLE_FIELDS_NAME	Nombre
____STARTTEXTS____
[T_SENDING_TIPS]	
	<h2>Configurando encabezado de rebotes. </h2>
                    <p>Si va a procesar mensajes rebotados puede definir 
                    las opciones de envío de rebotes allí.</p>
                    <p>&nbsp;</p>
                    <p><font color="#FF0000"><strong>Atención!</strong></font> 
                      Los mensajes rebotados pueden ser regresados con la configuración
                      Pre-determinada, necesitara definir las opciones de rebote si no encuentra
                      el mensaje rebotado en su buzón o necesita especificar el buzón que debe
                      ser diferente al sus encabezados Para o Responder a. Buena suerte!</p>
                    <p>Usualmente todos los mensajes rebotados regresan al correo en el Return-path
                     en su mensaje.  Hay algunas maneras de implementar esto, algunas se prefieren
                     sobre otras.</p>
                    <p><strong><u>SMTP</u></strong></p>
                    <p>Si esta utilizando SMTP para enviar mensajes puede especificar
                    un correo diferente al de los encabezados "De" o "Responder a" 
                    Necesita marcar 'Utilice el correo y SMTP' y especificar el correo.<br>
                      <br>
                      <strong><u>Configuración usando el comando SendMail</u></strong></p>
                    <p>Sus resultados serán diferentes con este método pero vale la pena probarlo: </p>
                    <p><br>
                      <strong><em>Técnica 1:</em></strong> The -f flag</p>
                    <p>Marcar 'Use sendmail -f flag' y especifica un correo allí</p>
                    <p>Esto debería configurar el encabezado Return-Path</p>
                    <p>&nbsp;</p>
                    <p><em><strong>Técnica 2: </strong></em>Encabezado Return-Path </p>
                    <p>If that doesn't work, you can try to set the Return-Path 
                      header explicitly. This is not the best way by any means, 
                      but Qmail allows you to do this.</p>
                    <p>&nbsp;</p>
                    <p><strong> Técnica  3: </strong>Errors-To header</p>
                    <p>El Errors-To header parece haber sido creado solamente
                    para este caso, pero parece ser ya un encabezado rechazado, úselo con 
                    precaución. Para que funcione, deberá configurar
                      Sendmail para que lea los Errors-To header. No recomiendo
                      usar estos encabezados, pero si cualquiera de las técnicas anteriores falla
                      puede probar el Errors header.</p>
                    <p>&nbsp;</p>
 <p>Para probar cualquiera de estas configuraciones, Envíese un correo Usted mismo y vea el source (datos de origen= del mensaje, 
en su programa de correos (ej. Outlook). En los encabezados, Deberá ver el Return-Path header parecido al siguiente:</p>
                    <blockquote>
                      <p><code>Return-Path: &lt;info-store@sellwide.net&gt;<br>
                        Delivered-To: helpdesk@sellwide.net<br>
                        Content-Disposition: inline<br>
                        Content-Transfer-Encoding: binary<br>
                        Content-Type: text/plain<br>
                        MIME-Version: 1.0<br>
                        X-Mailer: MIME::Lite 2.117 (F2.71)<br>
                        Date: Tue, 14 Jun 2005 15:26:41 UT<br>
                        From: FUMP Registration &lt;info-store@sellwide.net&gt;<br>
                        To: Konstantin Ursaloff &lt;info-store@sellwide.net&gt;<br>
                        Subject: User mom_id2000@yahoo.com registered at the dlfumlpl 
                        account </code></p>
                    </blockquote>
[/T_SENDING_TIPS]
[T_BOUNCE_HELP]
<p>Aquí puede editar las cuentas POP3 para coleccionar mensajes rebotados
                    y definir las reglas/acciones de prospectos (remover o desactivar
                    prospectos):<br>
                    <br>
                    <strong>Servidor POP3</strong> - su servidor POP3 para coleccionar 
                    mensajes</p>
                  <p><strong>Puerto POP3</strong> - puerto predeterminado es el 110</p>
                  <p><strong>Usuario POP3</strong> - usuario para ingresar al buzón</p>
                  <p><strong>Contraseña POP3</strong> - contraseña para ingresar al buzon<br>
                  </p>
                  <p><strong>Remover&nbsp;prospectos&nbsp;despues</strong>:<br>
                    - <strong>rebotes duros:</strong> Este es el conteo de mensajes con
                    rebotes duros antes que los prospectos sean removidos o desactivados
                    (Rebotes duros son errores permanentes como servidor o usuario no encontrado
                    rechazo a spam, y significa que su mensaje nunca será recibido por el 
                    recipiente). FUMP esta pre-configurado para remover/desactivar prospectos despues
                    de un rebote duro pero puede cambiar esta regla</p>
                  <p>- <strong>rebotes suaves:</strong> conteo de rebotes suaves antes que prospectos
                  sean removidos o desactivados (Rebotes suaves son errores temporales como cuando el
                  buzón esta lleno, etc.). FUMP esta pre-configurado para remover/desactivar prospectos después
                    de tres rebotes suaves pero puede cambiar esta regla.</p>
                  <p><strong><br>
                    Acciones: </strong></p>
                  <p>- <strong>remover prospectos de la base de datos:</strong> sus prospectos serán
                  removidos de la base de datos</p>
                  <p>- <strong>cambiar estatus a desactivado:</strong> sus prospectos serán
                  desactivados</p>
                  <p>- <strong>Agregar prospecto a la lista negra:</strong> 
                    Puede configurar esta opción para automáticamente agregar prospectos a la lista
                    negra cuando sean removidos o desactivados</p>
[/T_BOUNCE_HELP]
[T_ACCOUNT_OPTIONS_SUBSCRIBE]

   También puede conseguir suscriptores
                          solicitándoles que presionen en el enlace de un mensaje. <br>
                          Solo cree un nuevo correo electrónico para su dominio o cualquier
                          cuenta POP3<br>
                          Luego introduzca la configuración debajo. <br>
                          Esto es especialmente útil cuando desea que alguien utilice un correo falso<br>
                          porque conseguirá su correo directamente desde su programa de correos (ej.Outlook). 
                          <br>
                          Vea el archivo README.TXT para mas información.
[/T_ACCOUNT_OPTIONS_SUBSCRIBE]
[T_ACCOUNT_OPTIONS_SUBSCRIBE2]
 <u>Permitir suscripción 
  con correo en blanco:</u> Marque aquí si desea que la gente se suscriba<br>
                          a su mailing list haciendo click en un link en un mensaje o enviando
                        un correo en blanco.<br> <br> <u>Servidor POP3:</u> 
                          El servidor de entrada de su cuenta POP3. El proveedor de su cuenta
                       POP3 <br>
                       debería proveerle esta información.<br> <br> 
                    <u>Usuario POP3:</u> Su usuario para usar su cuenta 
                  POP3.<br> <br> <u>Contraseña POP3:</u> La contraseña para entrar
                     a su cuenta POP3.<br> <br> <u>Puerto del servidor
                   POP3:</u> En la mayoría de los servidores es 110.Pero si recibe un error
                           pregunte al administrador de su servidor. 
 [/T_ACCOUNT_OPTIONS_SUBSCRIBE2]
 [T_ACCOUNT_OPTIONS_BLACKLIST]
	    <p><u>Lista bloqueada:</u> Puede agregar correos o dominios para bloquearlos
		    <b>&quot;spam@yahoo.com&quot;</b> o 
                <b>&quot;hotmail.com&quot;</b></p>
            <p>&nbsp;</p>
           <p><u>Mensaje de error:</u> Este mensaje es leído por los prospectos si su correo o
         dominio a sido bloqueado por usted.<br>
                     </p>
 [/T_ACCOUNT_OPTIONS_BLACKLIST]
 [T_MESSEDIT_PERSONALIZE]
  <h2>PERSONALIZANDO SUS MENSAJES</h2>
  <P><span class="ERROR_ELEMENT"><U><B>Nuevo!</B></U></span> Para agregar el enlace de remover
  a sus mensajes ahora tiene que colocar <strong>[UNSUBSCRIBE_LINK]</strong> 
                     en cualquier lugar de su mensaje (en mensajes HTML puede agregar el tag 
                     &lt;a href=&quot;<strong>[UNSUBSCRIBE_LINK]</strong>&quot;&gt;Presione aqui para
                     removerse&lt;/a&gt;)
                   <P>&nbsp;
                   <p>Hay cuatro palabras predeterminadas que puede utilizar en el asunto o cuerpo
                   de su mensaje.</p>
                   <ul>
                     <li><b>[FIRSTNAME]</b> extraerá el nombre del suscriptor y lo imprimirá
                     (i.e. 'Hola <b>[FIRSTNAME]</b>' imprimirá 'Hola 
                       Juan!', si el nombre de su suscriptor es  <i>Juan</i>).</li>
                     <li><b>[FULLNAME]</b> extraerá el nombre completo de su suscriptor
                     (i.e. 'Sr. <b>[FULLNAME]</b>,' imprimirá' Sr. 
                       Juan Pérez', si el nombre y apellido de su suscriptor es <i>Juan Pérez</i>).</li>
                     <li><b>[EMAIL]</b> extraerá el correo electrónico de su suscriptor
                     (i.e. 'Su correo electrónico es <b>[EMAIL]</b>' 
                       imprimirá 'Su correo electrónico es juan@latinmail.com', si el correo de su suscriptor es
                       <i>juan@latinmail.com</i>. <br>
                       <b>[DATE]</b> imprimirá la fecha del día actual en el formato <i>dd/mm/yyyy</i> 
                       . </li>
                     <li><b>[DATE+32d] [DATE-32d] [DATE+1m] [DATE-1m] [DATE+1y] 
                       [DATE-1y] </b>imprimirá la fecha corregida en el formato <i>dd/mm/yyyy</i> 
                       format. </li>
                     <li><b>[IP]</b> extraerá e imprimirá el IP usado por el suscriptor al momento de suscribirse
                     a su lista usando el HTML form de su pagina web, o mostrara un campo vació</li>
                     <!--Please do not remove or translate this tag-->
 		    {additional}
 		    <!--Please do not remove or translate this tag-->
 		    </ul>
 [/T_MESSEDIT_PERSONALIZE]
 [T_BULK_REM_HELP]
 		<p>Puede remover prospectos de esta cuenta agregándolos al campo de abajo <br>
 		y presionando  "remover prospectos" </p>
 		<p>&nbsp;</p>
 		<p>Un correo por línea. También puede usar una mascara. Por ejemplo <br>
 		si es que escribe "hotmail" en el campo de abajo, se removerán todos los correos que
 		contengan hotmail en cualquier parte del correo. <br>
 		<br>
 		ejemplo. hotmail@aol.com, mike@hotmail.com, myhotmail@email.com - seran todos removidos
 		de la lista</p>
 [/T_BULK_REM_HELP]
 [T_IMPORT_HELP]
 	<p>Aquí puede agregar nuevos contactos a su lista de  "suscriptores actuales" <br>
 	. Puede pegarlos en el campo <br>
 	 "Insertar texto" o subirlos en un archivo txt usando cualquiera de los formatos abajo: <br>
 	<br>
 	<i>John Smith|his@email.com</i><br>
 	or:<br>
 	<i>his@email.com</i><br>
 	or:<br>
 	<i>&lt;his@email.com&gt; </i><br>
 	or:<br>
 	<i>John Smith &lt;his@email.com&gt; </i><br>
 	or:<br>
 	<i>“John Smith” his@email.com</i><br>
 	or:<br>
 	<i>John Smith his@email.com</i><br>
 	<br>
 	Un contacto por línea. Cuando este listo, presione el botón Importar Prospectos.</p>
 [/T_IMPORT_HELP]
 [T_DOI_MESS]
 Para confirmar su suscripción, presione en el enlace de abajo 
 (deberá estar conectado al Internet en ese momento):
 
 [CONFIRM_URL]
 
 Si usted no pidió suscribirse, no necesita tomar otra acción.
 [/T_DOI_MESS]
 [T_ATTANTIONFILES1]
 <hr size="4" noshade>
 <H1 class="mess">Atecion!</H1>
 Estos archivos aun están en el servidor:
 <UL>
 [/T_ATTANTIONFILES1]
 [T_ATTANTIONFILES2]
 </UL><h2>Por favor bórrelos del servidor luego de la instalación</H2><hr size=\"4\" noshade>
[/T_ATTANTIONFILES2]

