French	iso-8859-1
SETTINGSMENU_SENDING_OPTIONS_DESCR	Installation de la méthode du Mailing. Sélectionner et installer votre web serveur mail programme et path ou l’adresse de votre serveur SMTP. En plus, vous pouvez ajouter les headers comme <i>"Retour-Path"</i> or <i>"Erreurs-A"</i> et définir mailbox pour les messages retournés, non envoyés. 
SETTINGSMENU_ACCESS	Accès
SETTINGSMENU_ACCESS_DESCR	Ici vous pouvez changer votre mot de passe pour votre espace admin.
SETTINGSMENU_TIME_SYNC	Configuration du temps 
SETTINGSMENU_TIME_SYNC_DESCR	Ici vous pouvez synchroniser l’heure du serveur et votre heure locale. C’est utile pour l’envoi des messages consécutifs. 
SETTINGSMENU_PERFOM	Performance
SETTINGSMENU_PERFOM_DESCR	C’est un outil pour tester la performance de votre serveur quand vous envoyer les mailings.
SETTINGSMENU_BACUP_RESTORE	Sauvegarder/Restaurer
SETTINGSMENU_BACUP_RESTORE_DESCR	Sauvegarder et restaurer la base de données.
STATMENU_MAIN	Prinicpal
STATMENU_ACT_LOGS	Logs d’activités
STATMENU_ACT_LOGS_DESCR	Voir les logs des envois et logs s’abonner/se désabonner pour la date indiquée. Cela montre les enregistrements et la période quand le programme a exécuté vos commandes.
STATMENU_CURRENT_BROADCAST	Log de l’envoi en cours
STATMENU_CURRENT_BROADCAST_DESCR	Information sur le progrès de l’envoi en cours.
STATMENU_TOTALS	Total
STATMENU_TOTALS_DESCR	Le nombre total des messages envoyés pour ce compte, y compris les messages s’abonner/se désabonner.
STATMENU_TOTALS_SENT_MESS	Messages envoyés
STATMENU_TOTALS_SUBSCRIBERS	Abonnés
STATMENU_TOTALS_PROSPECTS	Prospects
PROSPMENU_ADD_PROSP	Ajouter le nouveau prospect >
PROSPMENU_IMPORT	Importer la liste
PROSPMENU_EXPORT	Exporter la liste
PROSPMENU_COPY	Copier du compte 
PROSPMENU_BULK_REMOVE	Retirer en masse 
ERROR_NOT_CHANGE_URL	Merci de ne pas changer cet URL 
ERROR	Erreur
MENU_GO	Commencer
ERROR_YOUR_NAME_REQUIRED	Votre nom est requis 
ERROR_EMAIL_INCORRECT	Email est incorrect
ERROR_EMAIL_REQUIRED	Email est requis 
ERROR_REQUIRED	Requis
ERROR_DUBL	Duplication
ERROR_CANT_LOCK_FILE	Impossible de enclore le fichier pour l’écriture 
ERROR_REQUIRED_SMALL	requis
MESS_SETTINGS_UPDATED	Configuration a été mise à jour
ERROR_FILENAME_INCORRECT	Le nom du fichier est incorrect 
ERROR_INCORRECT	Incorrect
ERROR_NOT_EQUAL	Non équivalent 
ERROR_NOT_SELECTED	Non sélectionné
ERROR_REQUIRED_SENDMAIL	Sendmail requis
ERROR_INCORRECT_SENDMAIL_PATH	Path vers sendmail est incorrect 
ERROR_INCORRECT_SENDMAIL_NOT_EXISTS	Sendmail n’existe pas sur ce serveur
ERROR_REQUIRED_SMTP	Le nom du serveur SMTP est requis
ERROR_INCORRECT_FORMAT	Format incorrect
MESS_LOGOUT_TO_CHECK	Se déconnecter pour vérifer 
ERROR_CANT_OPEN_DIR	Impossible d’ouvrir le répertoire 
ERROR_CANT_UNLINK_FILE	Impossible de supprimer le fichier 
ERROR_CANT_CREATE_DIR	Impossible de créer le répertoire 
ERROR_CANT_OPEN_FILE	Impossible d’ouvrir le fichier 
ERROR_CANT_WRITE	pour l’écriture 
ERROR_NEED_TO_CREATE	Vous avez besoin de créer le fichier 
ERROR_NEED_TO_CREATE2	et installer ses permissions à CHMOD 666 
ERROR_SHORTER_THEN_3	Doit comporter plus de 3 caractères
MONTH_1	Janvier 
MONTH_2	Février 
MONTH_3	Mars
MONTH_4	Avril
MONTH_5	Mai
MONTH_6	Juin
MONTH_7	Juiller
MONTH_8	Août
MONTH_9	Septembre
MONTH_10	Octobre
MONTH_11	Novembre
MONTH_12	Décembre
MESS_NO_BROADCAST_LOG	Aucun log trouvé sur l’envoi en cours ou l’envoi précédent 
BROADCAST_LOG_PROC	Proc #
BROADCAST_LOG_TIME	Heure
BROADCAST_LOG_STATUS	Etat
BROADCAST_LOG_MAIN	principal
STAT_NO_MESS	Aucun message n’a été trouvé pour la date indiquée 
STAT_STATISTICS	Statistiques
STAT_TOTAL_PROSP	Nombre Total des prospects
STAT_ACCOUNT	Compte
STAT_SEQUNTIAL	Consécutif
STAT_ACT_PROSP	Activer des prospects
STAT_INACT_PROSP	Désactiver des prospects
STAT_TOTAL	Total
STAT_NO_LOGS_FOUND	Aucun logs n’a été trouvé 
STAT_SHEDULED	Consécutifs, périodiques
STAT_MANUAL	Manuel
STAT_DOI	Double opt-in
STAT_SUBSCRIBE	S’abonner
STAT_UNSUBSCRIBE	Se désabonner
STAT_SUBSCRIBERS	Abonnés
STAT_UNSUBSCRIBERS	Désabonnés
STAT_SENT_MESS_STAT	Statistiques des messages envoyés 
STAT_SUBSCRIBERS_STAT	Statistiques des abonnés 
STAT_PERIOD_FOR	pour
STAT_PERIOD_FROM	de
STAT_PERIOD_TILL	jusqu’à
TXT_EMAIL_ADDRESS	Email
TXT_NAME	Nom
ERROR_IS_ALREADY_EXISTS	déjà dans notre base de données
ERROR_NUMBER_REQUIRED	Doit contenir des chiffres 
ERROR_TO_BIG	Nombre trop grand 
ERROR_ALREADY_USED	déjà utilisé 
ERROR_USER_NOT_FOUND	Erreur: Requête échoué, utilisateur n’a été trouvé 
TXT_MODE_NEW	Nouveau
TXT_MODE_EDIT	Editer
USR_SENT_MESS	Messages envoyés
USR_SENT_RECORDS_IN_LOGS	enregistrements dans le logs
USR_SENT_MESSAGE	Message
USR_SENT_DATE	Date
USR_BROWSER_PAGE	Page
USR_BROWSER_PROSPECTS	prospects
USR_BROWSER_PREVIOUSE	Précédent
USR_BROWSER_NEXT	Suivant
USR_BROWSER_SHOWING	Affichage
USR_BROWSER_FROM	de
USR_BROWSER_NO_RECORDS_FOUND	Aucun enregistrement n’a été trouvé 
USR_BROWSER_INACTIVE	Inactive
USR_BROWSER_ACTIVE	Active
USR_BROWSER_PENDING	Suspendu
USR_BROWSER_CYCLE_DISABLED	Désactivé
USR_BROWSER_EDIT_USER	Editer utilisateur
USR_BROWSER_HEAD_SENT	Envoyé
USR_BROWSER_HEAD_STATUS	Etat
USR_BROWSER_HEAD_DATE	Date
USR_BROWSER_HEAD_CYCLE	Cycle
USR_BROWSER_HEAD_HOST	Host
USR_BROWSER_HEAD_USERID	ID d’utilisateurs
USR_BROWSER_USERS_REMOVED	prospects retirés
USR_BROWSER_USERS_CHANGED	prospects changés
USR_BROWSER_USERS_SHOW_FIELDS	Afficher les champs
USR_BROWSER_USERS_SHOW_EXTRA	Afficher extra
USR_BROWSER_USERS_SORT_ASC	Montant
USR_BROWSER_USERS_SORT_DESC	Descendant
USR_BROWSER_FINISHED	Terminé
USR_BROWSER_ALL	Tout
USR_BROWSER_CANT_IMPORT	Impossible d’importer - 0 prospects dans l’autre compte 
USR_BROWSER_EXPORTED	Exporté
USR_BROWSER_CANT_EXPORT Impossible d’exporter - prospects dans l’autre compte 
USR_BROWSER_EXPORT_EMAIL_ONLY	Seulement email 
USR_BROWSER_EXPORT_EMAIL	EMAIL
USR_BROWSER_EXPORT_NAME	NOM
USR_BROWSER_EXPORT_FILE	Fichier
USR_BROWSER_EXPORT_PAGE	Page
USR_BROWSER_BULK_QUERY_INCORRECT	Demande de masse est incorrecte 
USR_BROWSER_BULK_CURRENT_ACCOUNT	Compte en cours 
USR_BROWSER_BULK_ALL_ACCOUNTS	Tous les comptes 
USR_BROWSER_IMPORT_PROSPADD	prospects ajoutés
USR_BROWSER_IMPORT_ERRORS_DETECTED	erreurs detectées
ERROR_FIELD_NAME_INCORRECT	Nom du champ est incorrect 
HTML_FORM_FIELD_NAME	Nom du champ
HTML_FORM_ERR_RESERVED	est réservé
HTML_FORM_ERR_USED	est déjà utilisé
HTML_FORM_ERR_EMPTY	est vide
HTML_FORM_SUBSCRIBE_ACCOUNTS	Sélectionnez les comptes où vous voulez abonner automatiquement des prospects<br>quand ils s’abonnent à ce compte.
HTML_FORM_SAVE_ACCOUNTS	Enregistrer les comptes
HTML_FORM_UNSUBSCRIBE_ACCOUNTS	Sélectionnez les comptes où vous voulez automatiquement désabonner des prospects<br>quand ils s’abonnent à ce compte.
HTML_FORM_UNSUBSCRIBE_ALL	Désabonner de tous les autres comptes 
HTML_FORM_ADD_NEW	Ajouter un nouveau champ>
HTML_FORM_NAME	Nom
HTML_FORM_RESERVED	Réservé
HTML_FORM_EMAIL	Email
HTML_FORM_CONFIRM	Vous êtes sûr de vouloir supprimer ce champ ? Toutes les données seront perdues ! 
HTML_FORM_YOU_HAVE	Vous avez
HTML_FORM_COSTUM_FIELDS	champ(s) personnalisé (s)
HTML_FORM_DROP	Supprimer
HTML_FORM_UP	Monter
HTML_FORM_DOWN	Descendre
HTML_FORM_MOVE	Basculer
HTML_FORM_SUBSCRIBE	S’abonner
ERROR_URL_INCORRECT	URL n’est pas incorrect
TXT_DEFAULT	Défaut
ERROR_CANT_UPLOAD_FILE	Impossible de télécharger le fichier 
ERROR_CANT_FIND_EMAIL	Impossible de trouver email 
TXT_LINE	Ligne
TXT_EMAIL	email
TXT_ISINCORRECT	est incorrect
TXT_IS_EXISTS	existe déjà
TXT_IS_BOUNSED	est une blackliste des emails retournés, non envoyés 
MESS_ERR_CONFIRM	Le texte du message doit contenir un tag spécial 
ERROR_DATE_INCORRECT	Date est incorrecte
MESS_CREATE_NEWMESS	Création du nouveau message pour ce compte 
MESS_EDIT_MESS	Editer le message
MESS_DOWNLOAD_ATTACH	Ajouter une pièce attachée 
MESS_ATTACHMENTS	Pièces jointes
MESS_TYPE_AUTO	Auto répondeurs
MESS_TYPE_MANUAL	Manuellement
MESS_TYPE_SCHEDULED	A telle date
MESS_BROADCAST_STARTED	Envoi du mailing a été commencé à l’arrière-plan
MESS_PREVIEW	Afficher
LINKS_ALL_MONTH	Tous les mois 
LINKS_ALL_MESS	Tous les messages
LINKS_ALL_LINKS	Tous les liens
LINKS_CHANGE	Changer
LINKS_CHANGE_LINK	Changer le lien 
MESS_PERS_EXTRA	Fusionner les champs, les mots
MESS_PERS_LOAD_FROM_FILE	Ajouter le contenu du fichier 
MESS_PERS_LOAD_FROM_TEMPL	Ajouter le contenu des templates 
MESS_PERS_REDIR_LINK	lien redirigé
MESS_PERS_REDIR_LINK_TO	à
MESS_PERS_TRACK	Liens traqués
MESS_PERS_NEW	Nouveaux
TXT_VIEW	Voir
LINKS_MESSAGES_LINKS_ACT	L’efficacité des liens dans vos messages 
LINKS_VIEW_PROSP	Voir les prospects
LINKS_VIEW_CLICKS	Voir les cliques
ACCOUNT_EXISTS	Compte existe déjà 
ACCOUNT_INVALID_NAME	Nom du compte est invalide 
ACCOUNT_NO_ACCOUNTS	Aucun compte
ACCOUNT_YOUR_ACCOUNTS	Vos comptes
ACCOUNT_DISABLED	Désactivés
ACCOUNT_DELETE_QUESTION	Vous êtes sûr de vouloir supprimer les comptes sélectionnés ? 
ACCOUNT_INVERT_STATUS	Inverser le statut 
LANG_SELECT_LANG	Sélectionnez la langue pour votre logiciel. 
LANG_SELECT_LANG_TABHEADER	Sélectionnez votre langue par défaut et l’encodage 
LANG_LANG	Langue
#########################	
#file bounce.cgi	
#########################
BOUNCE_ERROR	ERREUR DU PROCESSUS POUR LE RETOUR DES EMAILS 
BOUNCE_ERROR_HEADER	ERREUR DU PROCESSUS POUR LE RETOUR DES EMAILS – Impossible de télécharger le module 
Mail::DeliveryStatus::BounceValidator
BOUNCE_ERROR_DESCR1	Impossible de télécharger le module Mail::DeliveryStatus::BounceValidator
BOUNCE_ERROR_DESCR2	Merci de vérifier si le fichier <B>BounceValidator.pm</b> existe bien dans lib/Mail/DeliveryStatus/ répertoire ou demander à votre hébergeur d’installe les modules MIME::Tools.
BOUNCE_ERROR_TXT	Erreur
BOUNCE_ERROR_ACTION	Action
BOUNCE_ERROR_ACTION_WAS_NOTFOUND	n’a pas été trouvé
BOUNCE_ERROR_CANT_OPEN_CONN	Erreur: Impossible de se connecter à 
BOUNCE_CONNECTED	CONNECTE
BOUNCE_CONNECTED_AUTH	Authentification de l’utilisateur 
BOUNCE_CONNECTED_AUTH_AND_PASS	et mot de passe **********
BOUNCE_CONNECTED_LOGGED	Connecté à
BOUNCE_CONNECTED_FETCH	Téléchargement des messages
BOUNCE_CONNECTED_YOU_HAVE	Vous avez
BOUNCE_CONNECTED_YOU_HAVE_MESS	messages dans votre boîte email
BOUNCE_CONNECTED_LOADING	Premier téléchargement
BOUNCE_CONNECTED_LOADING_MESS	messages
BOUNCE_CONNECTED_LOADING_EMPTY	Votre boîte email est vide
BOUNCE_ERROR_VALIDATOR	BounceValidator erreur: Impossible de parser le message
BOUNCE_LOAD_MSG	Téléchargement du message
BOUNCE_LOAD_MSG_IS_BOUNC	Ce message a été retourné
BOUNCE_LOAD_MSG_EMAIL_IS	Email retourné est
BOUNCE_LOAD_MSG_EMAIL_IS_DIAG	Diagnostic
BOUNCE_LOAD_MSG_CANT_LOAD	Erreur: Impossible de télécharger le message
BOUNCE_COUNT_TOTAL	Total
BOUNCE_COUNT_TOTAL_MSGS	messages retournés dans votre boîte email 
BOUNCE_TEST_OK	Test est OK
BOUNCE_TEST_ERROR	Erreur: Authentification impossible - Configuration POP3 incorrecte
BOUNCE_PAGE_REM_MAIL_ALL_ACC	Retirer email de tous vos comptes 
BOUNCE_PAGE_SET_STATUS_INACT	Mettre l’état des prospects comme inactives 
BOUNCE_PAGE_ADD_NEW_POP	Ajouter nouveau compte POP3 
BOUNCE_PAGE_EDIT_POP	Editer compte POP3 
BOUNCE_STATUS_WAITING	Patientez…
BOUNCE_STATUS_REMOVED	Prospect retiré
BOUNCE_STATUS_INACTIV	Prospect désactivé
BOUNCE_STATUS_NOTFOUND	Prospect n’a pas été trouvé
BOUNCE_STATUS_PROC_MAN	Procéder manuellement
BOUNCE_SORT_HARD	Hard
BOUNCE_SORT_SOFT	Soft
BOUNCE_SORT_DATE	Date
BOUNCE_SORT_MAIL	Email
BOUNCE_SORT_ASC	Monter
BOUNCE_SORT_DESC	Descendre
BOUNCE_INPUT_REM_PROSP	Retirer prospects
BOUNCE_INPUT_REM_PROSP_SURE	Êtes-vous sûr de vouloir supprimer 
BOUNCE_INPUT_REM_PROSP_SURE_MAILS	emails
BOUNCE_INPUT_REM_PROSP_CANCEL	Annuler
BOUNCE_INPUT_BACK_BLACKLIST	Retour vers la Blackliste
BOUNCE_EMAILS_WERE_REM	emails ont été retirés de la Blackliste
BOUNCE_EMAILS_WERE_ADD	emails ont été ajoutés à la blackliste
BOUNCE_ERROR_DELIVER_MSGS	Désolé, mais vous ne pouvez pas ajouter cet email. Merci de réessayer en utilisant un email différent.
BOUNCE_SETTS_UPDATED	Configuration a été mise à jour
#########################	
#file xmlimport.cgi	
#########################
XMLI_ERROR_BNC_PROC	ERREUR DE PROCESSING SUR LES EMAILS RETOURNES 
XMLI_ERROR_BNC_PROC_TXT	XML IMPORT ERREUR – impossible de charger le module XML::Parser
XMLI_ERROR_BNC_PROC_TXT_DESCR1	Impossible de charger le module 
XMLI_ERROR_BNC_PROC_TXT_DESCR2	Merci de demander à votre hébergeur d’installer 
XMLI_ERROR_BNC_PROC_TXT_DESCR2_1	les modules.
XMLI_ERROR_BNC_PROC_ERROR	Erreur
XMLI_MSG	Do not change the URL
XMLI_MSG_PROSPS_WERE_ADDED	prospects ont été ajouté et ont été
XMLI_MSG_PROSPS_WERE_UPD	mises à jour dans la base de données
XMLI_MSG_TOTAL_ELMS	Total d’éléments dans le fichier XML 
XMLI_ERR_ELEMENT	Elément
XMLI_ERR_ELEMENT_EMAIL	email
XMLI_ERR_ELEMENT_EMAIL_INCORR	estvincorrect
XMLI_ERR_ELEMENT_EMAIL_ALR_EX	déjà existe et a été mis à jour 
XMLI_ERR_ELEMENT_EMAIL_WAS_NOT_ADDED_SQL	n’a pas été ajouté à la base de données SQL erreur
#########################	
#file xmlexport.cgi	
#########################
XMLE_PAGE_FUMP_DIR	Dans le répertoire FUMP 
XMLE_PAGE_INTO_BRO	Dans navigateur 
XMLE_PAGE_SAVE_AS_FILE	Enregistrer comme le fichier
XMLE_PAGE_ENC_DEF	<default>
XMLE_FIELDS_REG_DATE	Date d’enregistement
XMLE_FIELDS_EMAIL	Email
XMLE_FIELDS_NAME	Nom
____STARTTEXTS____
[T_SENDING_TIPS]	
	<h2>Astuces pour configurer les headers pour les emails retournés. </h2>
                    <p>Si vous avez l’intention à travailler avec les messages retournés, vous pouvez définir ici les options d’envoi.</p>
                    <p>&nbsp;</p>
                    <p><font color="#FF0000"><strong>Attention!</strong></font> 
                      Messages non envoyés seront retournés selon la configuration par défaut, 
                      Vous avez besoin de définir ou vérifier les options pour les messages non envoyés, si vous ne pouvez pas trouver le messages retournés dans votre boîte email ou vous avez besoin de spécifier une autre boîte email, différente de celle que vous utilisez dans vos mailings pour « From » ou « Répondre à » .</p>
                    <p>Habituellement, tous les messages qui n’ont pas pu être distribués, seront retournés à l’email que vous avez indiqué dans le header Retour-path dans vos messages. Vous avez plusieurs solutions pour effectuer cela.</p>
                    <p><strong><u>Envoi SMTP</u></strong></p>
                    <p>Si vous utilisez SMTP pour envoyer vos messages, vous pouvez spécifier 
                      Un différent email de votre headers 'DE' ou 'Répondre à'. 
                      Vous avez besoin de cocher la case'Utiliser un email suivant pour l’envoi SMTP' 
                      Et spécifier email. <br>
                      <br>
                      <strong><u>Configuration pour l’utilisation de la commande Sendmail</u></strong></p>
                    <p>Peut-être, les résultats ne seront pas optimaux, mais vous avez quelques bonnes alternatives: </p>
                    <p><br>
                      <strong><em>Technique 1:</em></strong> Un -f flag</p>
                    <p>Vous avez besoin de cocher 'Utiliser sendmail -f flag' et spécifier un email 
                      ici</p>
                    <p>Cela permet de configuer le header de Path-Retour.</p>
                    <p>&nbsp;</p>
                    <p><em><strong>Technique 2: </strong></em>Retour-Path header</p>
                    <p>Si cela ne marche pas, vous pouvez essayer de configurer le header du Path-Retour ouvertement.  Ce n’est pas le meilleur moyen, mais Qmail permet de faire cela.</p>
                    <p>&nbsp;</p>
                    <p><strong>Technique 3: </strong>”Erreurs-à” header</p>
                    <p>Un “Erreurs-à” header semble d’avoir être créé uniquement pour cette tâche, mais actuellement c’est un header désapprouvé. Utilisez-le avec précaution. Pour qu’il puisse effectuer le travail, vous devez configurer Sendmail pour voir un header actuel « Erreurs- à ». Si les techniques précédentes ont échoué, vous pouvez essayer de spécifier le header « Erreurs-à ».</p>
                    <p>&nbsp;</p>
                    <p>Pour tester une de ces configurations, envoyez-vous un teste message et regarder la source de ce message même dans votre logiciel de la réceptions des emails. Dans votre mail headers, vous devez apercevoir le header de Path-Retour, comme: </p>
                    <blockquote>
                      <p><code>Retour-Path: &lt;info-store@sellwide.net&gt;<br>
                        Envoyé à: helpdesk@sellwide.net<br>
                        Contenu-Disposition: en ligne<br>
                        Contenu-Transfert-Encodage: binary<br>
                        Contenu-Type: text/plain<br>
                        MIME-Version: 1.0<br>
                        X-Mailer: MIME::Lite 2.117 (F2.71)<br>
                        Date: Tue, 14 Jun 2005 15:26:41 UT<br>
                        From: FUMP Registration &lt;info-store@sellwide.net&gt;<br>
                        To: Konstantin Ursaloff &lt;info-store@sellwide.net&gt;<br>
                        Objet: Utilisateur mom_id2000@yahoo.com s’est enregistré au compte dlfumlpl 
                     </code></p>
                    </blockquote>
[/T_SENDING_TIPS]
[T_BOUNCE_HELP]
<p>Ici vous pouvez éditer votre compte POP3 pour collecter les messages retournés et définir les règles/actions concernant ces prospects 
(retirer
                    ou désactiver les prospects):<br>
                    <br>
                    <strong>POP3 serveur</strong> - votre POP3 serveur pour collecter 
                    Les messages</p>
                  <p><strong>POP3 port</strong> - POP3 port par défaut est 110</p>
                  <p><strong>POP3 user</strong> - nom d’utilisateur de l’email </p>
                  <p><strong>POP3 password</strong> - mot de passe pour cet email<br>
                  </p>
                  <p><strong>Retirer&nbsp;les prospects&nbsp;après</strong>:<br>
                    - <strong>Hard bounces:</strong> C’est le nombre des retours (hard bounces) des messages avant de retirer ou désactiver les prospects 
(Hard 
                    Bounces, ce sont les erreurs permanentes comme l’hébergeur ou l’utilisateur n’a pas été trouvé, rejet pour le spam. Cela signifie que votre message ne pourra jamais être envoyé à cet 
utilisateur). Par défaut, les prospects seront retirés/désactivés après le premier retour du message (hard bounce), mais vous pouvez modifier cette configuration.</p>
                  <p>- <strong>Soft bounces (retour des  messages soft):</strong> C’est le nombre des messages retournés (soft bounced) avant de retirer ou désactiver les prospects (Soft bounces, 
                    Ce sont les erreurs temporaires comme la boîte email est pleine, etc.) 
                    Par défaut, les prospects seront retirés/désactivés après 3 messages retournés, mais vous pouvez changer cette configuration.</p>
                  <p><strong><br>
                    Actions: </strong></p>
                  <p>- <strong>Retirer les prospects de la base de donnés:</strong> vos prospects seront retirés 
                    De la base de données.</p>
                  <p>- <strong>Mettre l’état comme inactive:</strong> votre prospect 
                    Sera désactivé.</p>
                  <p>- <strong>Ajouter les emails retournés à la base de données blackliste:</strong> 
                    Vous pouvez utiliser cette option pour automatiquement ajouter les prospects à la blackliste quand ils sont retirés ou désactivés.</p>
[/T_BOUNCE_HELP]
[T_ACCOUNT_OPTIONS_SUBSCRIBE]

			  Vous pouvez permettre à vos clients de s’abonner en cliquant sur un lien email. <br>
                          Tout simplement, créer un nouveau email pour votre nom de domaine ou n’importe quel compte email pop-3. <br>
                          Ensuite, remplissez le formulaire ci-dessous. <br>
                          C’est surtout très utile si vous voulez éviter que quelqu’un entre <br>
                          un faux nom ou un faux email parce que cela va collecter l’information directement de leur compte client email. 
                          <br>
                          Regardez le fichier  README.TXT pour plus d’information.
[/T_ACCOUNT_OPTIONS_SUBSCRIBE]
[T_ACCOUNT_OPTIONS_SUBSCRIBE2]
			<u>Autoriser l’abonnement en envoyant un email vide:</u> Cocher cette case si vous voulez autoriser aux gens de s’abonner<br>
                          A votre mailing liste en cliquant sur un lien email ou en envoyant un email vide.<br> <br> <u>POP3 serveur:</u> 
                          Un mail serveur de la réception des messages pour votre compte POP3. Votre provider du compte email
                          POP3<br>
                          Doit vous donner cette information.<br> <br> 
                          <u>POP3 username:</u> Votre nom d’utilisateur pour acceder à votre compte 
                          POP3.<br> <br> <u>POP3 password:</u> Votre mot de passe 
                          Pour accéder à votre compte POP3.<br> <br> <u>POP3 server 
                          port:</u> Sur la plupart des serveurs 110. Mais si vous avez un message d’erreur, posez la question à votre administrateur du serveur. 
[/T_ACCOUNT_OPTIONS_SUBSCRIBE2]
[T_ACCOUNT_OPTIONS_BLACKLIST]
		    <p><u>Ban list:</u> Vous pouvez ajouter un email ou des hébergeur que vous voulez interdire, par exemple: <b>&quot;spam@yahoo.com&quot;</b> or 
                      <b>&quot;hotmail.com&quot;</b>.</p>
                    <p>&nbsp;</p>
                    <p><u>Custom error message:</u> Ce message d’erreur sera affiché aux prospects si leurs emails sont interdits dans le formulaire des enregistrements erronés.<br>
                    </p>
[/T_ACCOUNT_OPTIONS_BLACKLIST]
[T_MESSEDIT_PERSONALIZE]
			<h2>Personnalisation de vos messages</h2><br>
			<P>Pour ajouter un lien de désabonnement, vous avez besoin de mettre <strong>[UNSUBSCRIBE_LINK]</strong> 
                    Un champ spécial à n’importe quel endroit de votre message (dans HTML messages 
                    Vous pouvez ajouter un tag de lien de cette façon : &lt;a href=&quot;<strong>[UNSUBSCRIBE_LINK]</strong>&quot;&gt;Cliquez ici 
                    Pour vous désabonner&lt;/a&gt;)
                  <P>&nbsp;
                  <p>Ce sont les champs des mots existants, vous pouvez les utiliser dans l’Objet ou le texte de votre message afin de le personnaliser.</p>
                  <ul>
                    <li><b>[FIRSTNAME]</b> va  extraire et afficher le prénom de votre prospect (i.e. 'Salut <b>[FIRSTNAME]</b>' va afficher 'Salut
                      Jean!', si le prénom de votre prospect est <i>Jean</i>).</li>
                    <li><b>[FULLNAME]</b> va extraire et afficher le nom et le prénom de votre prospect (i.e. 'Mr. <b>[FULLNAME]</b>,' va afficher 'Mr. 
                      Jean Dupont', si le nom complet de votre prospect est <i>Jean Dupont</i>).</li>
                    <li><b>[EMAIL]</b> va extraire et afficher email de votre prospect (i.e. 'Votre email est <b>[EMAIL]</b>' 
                      Va afficher 'Votre email est john@aol.com', si email de votre prospect est <i>john@aol.com</i>. <br>
                      <b>[DATE]</b> va afficher la date courante</li>
                    <li><b>[DATE+32d] [DATE-32d] [DATE+1m] [DATE-1m] [DATE+1y] 
                      [DATE-1y] </b>va afficher la date courante corrigée. </li>
                    <li><b>[IP]</b> va extraire et afficher IP de votre prospect s’il s’est abonné via le formulaire HTML, ou valeur vide</li>
                    <!--Please do not remove or translate this tag-->
		    {additional}
		    <!--Please do not remove or translate this tag-->
		    </ul>
[/T_MESSEDIT_PERSONALIZE]
[T_BULK_REM_HELP]
		<p>Vous pouvez retirer les prospects de ce compte en collant leurs emails <br>
		Dans l’espace texte ci-dessous et en cliquant sur "retirer les prospects". </p>
		<p>&nbsp;</p>
		<p>Entrez un email par ligne. Vous pouvez utiliser également  un masque. Par exemple, si vous <br>
		taper "hotmail" dans l’espace texte, cela va retirer tous les emails qui contiennent le mot
		<br>
		"hotmail" dans l’adresse email. <br>
		<br>
		i.e. hotmail@aol.com, mike@hotmail.com, myhotmail@email.com – vont être tous retirés de la liste </p>
[/T_BULK_REM_HELP]
[T_IMPORT_HELP]
	<p>Ici vous pouvez ajouter les nouveaux contacts à votre liste des « prospects actuels » et les lancer <br>
	Via votre installation complète de la messagerie. Vous pouvez également les coller dans <br>
	L’espace texte "Insérer texte" ci-dessous ou les télécharger dans le fichier texte en utilisant le format ci-dessous: <br>
	<br>
	<i>John Smith|his@email.com</i><br>
	or:<br>
	<i>his@email.com</i><br>
	or:<br>
	<i>&lt;his@email.com&gt; </i><br>
	or:<br>
	<i>John Smith &lt;his@email.com&gt; </i><br>
	or:<br>
	<i>“John Smith” his@email.com</i><br>
	or:<br>
	<i>John Smith his@email.com</i><br>
	<br>
	Entrez un seul contact par ligne. Quand cela est fait, cliquez sur le bouton “Importer les Prospects”.</p>
[/T_IMPORT_HELP]
[T_DOI_MESS]
Pour confirmer votre abonnement, cliquez sur le lien ci-dessous:

[CONFIRM_URL]

Si vous n’avez pas fait cette demande, vous n’avez pas besoin de faire quoi qu’il en soit, elle ne sera pas prise en compte.
[/T_DOI_MESS]
[T_ATTANTIONFILES1]
<hr size="4" noshade>
<H1 class="mess">Attention!</H1>
Ces fichiers sont toujours sur votre serveur:
<UL>
[/T_ATTANTIONFILES1]
[T_ATTANTIONFILES2]
</UL><h2>Merci de les retirer après l’installation</H2><hr size=\"4\" noshade>
[/T_ATTANTIONFILES2]

